屋顶编号,面板数量,朝向角度 (degrees),朝向描述,坡度 (radians),坡度 (degrees),年度总发电量 (kWh),1月发电量 (kWh),2月发电量 (kWh),3月发电量 (kWh),4月发电量 (kWh),5月发电量 (kWh),6月发电量 (kWh),7月发电量 (kWh),8月发电量 (kWh),9月发电量 (kWh),10月发电量 (kWh),11月发电量 (kWh),12月发电量 (kWh)
屋顶 1,7,-0.15,北 (North),0.4014,23.0,488.42,68.15,51.58,42.4,28.38,19.33,14.75,17.88,25.88,38.0,52.96,60.11,68.98
屋顶 2,9,179.85,南 (South),0.4014,23.0,492.18,68.3,51.82,42.76,28.79,19.73,15.12,18.29,26.32,38.42,53.28,60.27,69.08
