年份,月份,发电(kWh),用电(kWh),直接自用(kWh),电池放电(kWh),上网(kWh),购电(kWh),自用率(%),购电费($),馈网收入($),净电费($),电池计提($),净成本含电池($),无太阳能电费($),月节省($),贴现因子,贴现后节省($),累计节省($),累计贴现后节省($),回本进度(%),贴现回本进度(%)
1,1,677.16,423.2,201.34,221.86,253.96,0.0,62.5,24.8,15.24,9.56,66.67,76.23,176.62,100.39,0.9524,95.61,100.39,95.61,0.65,0.62
1,2,616.18,385.09,183.21,201.88,231.09,0.0,62.5,22.4,13.87,8.53,66.67,75.2,160.55,85.35,0.9485,80.95,185.74,176.56,1.2,1.14
1,3,594.79,371.72,176.85,194.87,223.07,0.0,62.5,24.8,13.38,11.42,66.67,78.08,158.16,80.07,0.9447,75.64,265.81,252.2,1.71,1.63
1,4,565.49,353.41,168.14,185.27,212.08,0.0,62.5,24.0,12.72,11.28,66.67,77.94,150.79,72.84,0.9408,68.53,338.65,320.73,2.18,2.07
1,5,670.82,419.24,199.46,219.78,251.58,0.0,62.5,24.8,15.1,9.7,66.67,76.37,175.2,98.83,0.937,92.61,437.48,413.34,2.82,2.67
1,6,835.56,522.19,248.44,273.76,313.37,0.0,62.5,24.0,18.8,5.2,66.67,71.86,211.34,139.47,0.9332,130.16,576.95,543.5,3.72,3.51
1,7,845.06,528.13,251.26,276.87,316.93,0.0,62.5,24.8,19.02,5.78,66.67,72.45,214.27,141.82,0.9294,131.81,718.77,675.31,4.64,4.36
1,8,748.44,467.75,222.53,245.21,280.69,0.0,62.5,24.8,16.84,7.96,66.67,74.63,192.6,117.98,0.9257,109.21,836.75,784.52,5.4,5.06
1,9,582.91,364.3,173.32,190.98,218.61,0.0,62.5,24.0,13.12,10.88,66.67,77.55,154.69,77.14,0.9219,71.12,913.89,855.64,5.9,5.52
1,10,571.03,356.87,169.78,187.09,214.16,0.0,62.5,24.8,12.85,11.95,66.67,78.62,152.83,74.21,0.9182,68.14,988.1,923.78,6.37,5.96
1,11,578.16,361.33,171.9,189.42,216.83,0.0,62.5,24.0,13.01,10.99,66.67,77.66,153.63,75.97,0.9144,69.47,1064.07,993.25,6.86,6.41
