scenario,param_panel,param_inverter,param_battery,project_type,region,panel_count,solar_kw,battery_kwh,total_with_tax,subsidy,final_price
极低参数,10,50,50,新建系统,NSW,1,0.0,50.32,25841.53,16419.0,9422.529999999999
极低参数,10,50,50,新建系统,NSW,2,0.44,22.44,13167.439999999999,8174.49072,4992.949279999999
极低参数,10,50,50,新建系统,NSW,3,0.88,22.44,13276.12,8316.78144,4959.33856
极低参数,10,50,50,新建系统,NSW,4,1.32,22.44,13384.8,8459.07216,4925.72784
极低参数,10,50,50,新建系统,NSW,5,1.76,22.44,13493.480000000001,8601.36288,4892.117120000001
极低参数,10,50,50,新建系统,NSW,6,2.2,22.44,13602.16,8743.6536,4858.5064
极低参数,10,50,50,新建系统,NSW,7,2.64,22.44,13710.84,8885.94432,4824.89568
极低参数,10,50,50,新建系统,NSW,8,3.08,22.44,13819.52,9028.23504,4791.284960000001
极低参数,10,50,50,新建系统,NSW,9,3.52,22.44,13928.2,9170.52576,4757.67424
极低参数,10,50,50,新建系统,NSW,10,3.96,22.44,14036.880000000001,9312.816480000001,4724.06352
极低参数,10,50,50,新建系统,NSW,11,3.96,22.44,14036.880000000001,9312.816480000001,4724.06352
极低参数,10,50,50,新建系统,NSW,12,4.4,22.44,14145.560000000001,9455.1072,4690.452800000001
极低参数,10,50,50,新建系统,NSW,13,4.84,22.44,14254.24,9597.397920000001,4656.8420799999985
极低参数,10,50,50,新建系统,NSW,14,5.28,22.22,14382.940000000002,9692.43864,4690.501360000002
极低参数,10,50,50,新建系统,NSW,15,5.72,22.22,14491.62,9834.729360000001,4656.89064
极低参数,10,50,50,新建系统,NSW,16,6.16,22.22,14600.3,9977.02008,4623.279919999999
极低参数,10,50,50,新建系统,NSW,17,6.6,22.22,14708.98,10119.3108,4589.6692
极低参数,10,50,50,新建系统,NSW,18,7.04,22.22,14817.659999999998,10261.60152,4556.058479999998
极低参数,10,50,50,新建系统,NSW,19,7.48,22.22,14926.340000000002,10403.892240000001,4522.447760000001
极低参数,10,50,50,新建系统,NSW,20,7.92,29.33,18113.095,13081.482960000001,5031.61204
极低参数,10,50,50,新建系统,NSW,21,7.92,29.33,18113.095,13081.482960000001,5031.61204
极低参数,10,50,50,新建系统,NSW,22,8.36,29.33,18221.775,13223.77368,4998.001320000001
极低参数,10,50,50,新建系统,NSW,23,8.8,29.33,18330.454999999998,13366.0644,4964.390599999999
极低参数,10,50,50,新建系统,NSW,24,9.24,29.33,18439.135,13508.35512,4930.779879999998
极低参数,10,50,50,新建系统,NSW,25,9.68,29.33,18547.815000000002,13650.645840000001,4897.169160000001
极低参数,10,50,50,新建系统,NSW,26,10.12,29.33,18656.495000000003,13792.93656,4863.5584400000025
极低参数,10,50,50,新建系统,NSW,27,10.56,29.33,18765.175,13935.22728,4829.94772
极低参数,10,50,50,新建系统,NSW,28,11.0,29.33,18873.855,14077.518,4796.3369999999995
极低参数,10,50,50,新建系统,NSW,29,11.44,29.33,18982.535,14219.808719999999,4762.726280000001
极低参数,10,50,50,新建系统,NSW,30,11.88,29.33,19091.215,14362.09944,4729.11556
极低参数,10,50,50,新建系统,NSW,31,11.88,29.33,19091.215,14362.09944,4729.11556
极低参数,10,50,50,新建系统,NSW,32,12.32,28.04,18597.15,14034.140159999999,4563.009840000002
极低参数,10,50,50,新建系统,NSW,33,12.76,28.04,18705.83,14176.43088,4529.399120000002
极低参数,10,50,50,新建系统,NSW,34,13.2,28.04,18814.51,14318.721599999999,4495.7883999999995
极低参数,10,50,50,新建系统,NSW,35,13.64,28.04,18923.190000000002,14461.01232,4462.1776800000025
极低参数,10,50,50,新建系统,NSW,36,14.08,28.04,19031.870000000003,14603.303039999999,4428.566960000004
极低参数,10,50,50,新建系统,NSW,37,14.52,28.04,19140.55,14745.59376,4394.9562399999995
极低参数,10,50,50,新建系统,NSW,38,14.96,28.04,19249.230000000003,14887.88448,4361.345520000003
极低参数,10,50,50,新建系统,NSW,39,15.4,28.04,19357.91,15030.1752,4327.7348
极低参数,10,50,50,新建系统,NSW,40,15.84,28.04,19466.59,15172.46592,4294.12408
极低参数,10,50,50,新建系统,NSW,41,15.84,28.04,19466.59,15172.46592,4294.12408
极低参数,10,50,50,新建系统,NSW,42,16.28,28.04,19575.27,15314.75664,4260.513360000001
极低参数,10,50,50,新建系统,NSW,43,16.72,28.04,19683.95,15457.04736,4226.90264
极低参数,10,50,50,新建系统,NSW,44,17.16,28.04,19792.630000000005,15599.33808,4193.291920000005
极低参数,10,50,50,新建系统,NSW,45,17.6,28.04,19901.309999999998,15741.6288,4159.681199999997
极低参数,10,50,50,新建系统,NSW,46,18.04,28.04,20009.99,15883.91952,4126.070480000002
极低参数,10,50,50,新建系统,NSW,47,18.48,28.04,20118.670000000002,16026.21024,4092.4597600000016
极低参数,10,50,50,新建系统,NSW,48,18.92,28.04,20227.35,16168.50096,4058.849039999999
