roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,new_pre_tax,pre_tax_diff,pre_tax_diff_rate,old_with_tax,new_with_tax,with_tax_diff,with_tax_diff_rate,subsidy,old_final,new_final,final_diff,final_diff_rate
2,1,0.44,8,22.44,21497.84,20252.0,-1245.8400000000001,-5.795186865285071,23647.624,22277.2,-1370.423999999999,-5.795186865285067,8174.49072,15473.13328,14102.709280000001,-1370.423999999999,-8.856796973185505
3,2,0.88,8,22.44,21687.64,20472.0,-1215.6399999999994,-5.6052203005951755,23856.404,22519.2,-1337.203999999998,-5.605220300595169,8316.78144,15539.622559999998,14202.41856,-1337.203999999998,-8.605125348681558
4,3,1.32,8,22.44,21877.440000000002,20692.0,-1185.4400000000023,-5.418549885178532,24065.184,22761.2,-1303.9840000000004,-5.418549885178523,8459.07216,15606.111840000001,14302.127840000001,-1303.9840000000004,-8.355598200044684
5,4,1.76,8,22.44,22067.24,20912.0,-1155.2400000000016,-5.235090568643843,24273.964,23003.2,-1270.7639999999992,-5.235090568643833,8601.36288,15672.60112,14401.83712,-1270.7639999999992,-8.108188234168493
6,5,2.2,8,22.44,22257.04,21132.0,-1125.0400000000009,-5.054760201715955,24482.744000000002,23245.2,-1237.5440000000017,-5.054760201715958,8743.6536,15739.090400000003,14501.546400000001,-1237.5440000000017,-7.862868619142066
7,6,2.64,8,22.44,22446.84,21352.0,-1094.8400000000001,-4.877479413583383,24691.524,23487.2,-1204.3240000000005,-4.877479413583384,8885.94432,15805.57968,14601.25568,-1204.3240000000005,-7.619612974549255
8,7,3.08,8,22.44,22636.64,21572.0,-1064.6399999999994,-4.703171495416279,24900.304,23729.2,-1171.1039999999994,-4.703171495416279,9028.23504,15872.06896,14700.964960000001,-1171.1039999999994,-7.378395362012082
9,8,3.52,8,22.44,22826.440000000002,21792.0,-1034.4400000000023,-4.531762289695643,25109.084000000003,23971.2,-1137.8840000000018,-4.53176228969564,9170.52576,15938.558240000002,14800.67424,-1137.8840000000018,-7.139190275970668
10,9,3.96,8,22.44,23016.24,22012.0,-1004.2400000000016,-4.363180085018238,25317.864,24213.2,-1104.6640000000007,-4.363180085018233,9312.816480000001,16005.04752,14900.38352,-1104.6640000000007,-6.901972634692938
11,9,3.96,8,22.44,23016.24,22012.0,-1004.2400000000016,-4.363180085018238,25317.864,24213.2,-1104.6640000000007,-4.363180085018233,9312.816480000001,16005.04752,14900.38352,-1104.6640000000007,-6.901972634692938
12,10,4.4,8,22.44,23206.04,22232.0,-974.0400000000009,-4.197355516063925,25526.644,24455.2,-1071.4439999999995,-4.1973555160639195,9455.1072,16071.5368,15000.0928,-1071.4439999999995,-6.666717771507698
13,11,4.84,8,22.44,23395.84,22452.0,-943.8400000000001,-4.034221468431996,25735.424,24697.2,-1038.2239999999983,-4.034221468431989,9597.397920000001,16138.026079999998,15099.80208,-1038.2239999999983,-6.433401426254223
14,12,5.28,9.6,22.22,23838.620000000003,22912.0,-926.6200000000026,-3.887053864695198,26222.482000000004,25203.2,-1019.2820000000029,-3.887053864695198,9692.43864,16530.043360000003,15510.76136,-1019.2820000000029,-6.166239118685547
15,13,5.72,9.6,22.22,24028.42,23132.0,-896.4199999999983,-3.7306656034812042,26431.262,25445.2,-986.0619999999981,-3.730665603481204,9834.729360000001,16596.532639999998,15610.47064,-986.0619999999981,-5.941373547047103
16,14,6.16,9.6,22.22,24218.22,23352.0,-866.2200000000012,-3.576728595247715,26640.042,25687.2,-952.8420000000006,-3.576728595247712,9977.02008,16663.02192,15710.17992,-952.8419999999987,-5.718302505839821
17,15,6.6,9.6,22.22,24408.02,23572.0,-836.0200000000004,-3.4251856561900573,26848.822,25929.2,-919.6219999999994,-3.425185656190053,10119.3108,16729.5112,15809.889200000001,-919.6219999999994,-5.497004598675898
18,16,7.04,9.6,22.22,24597.82,23792.0,-805.8199999999997,-3.2759813674545133,27057.602,26171.2,-886.4019999999982,-3.275981367454508,10261.60152,16796.00048,15909.59848,-886.4019999999982,-5.2774587679697325
19,17,7.48,9.6,22.22,24787.620000000003,24012.0,-775.6200000000026,-3.1290620075666906,27266.382000000005,26413.2,-853.1820000000043,-3.1290620075666955,10403.892240000001,16862.489760000004,16009.30776,-853.1820000000043,-5.059644288258439
20,18,7.92,9.99,29.33,30347.33,30021.4,-325.9300000000003,-1.0739989317017355,33382.063,33023.54,-358.52300000000105,-1.0739989317017375,13081.482960000001,20300.58004,19942.05704,-358.52300000000105,-1.766072690009704
21,18,7.92,9.99,29.33,30347.33,30021.4,-325.9300000000003,-1.0739989317017355,33382.063,33023.54,-358.52300000000105,-1.0739989317017375,13081.482960000001,20300.58004,19942.05704,-358.52300000000105,-1.766072690009704
22,19,8.36,9.99,29.33,30537.13,30241.4,-295.72999999999956,-0.9684276158237514,33590.843,33265.54,-325.3029999999999,-0.9684276158237526,13223.77368,20367.069320000002,20041.766320000002,-325.3029999999999,-1.5972008288917625
23,20,8.8,9.99,29.33,30726.93,30461.4,-265.52999999999884,-0.8641605262875232,33799.623,33507.54,-292.0829999999987,-0.8641605262875232,13366.0644,20433.5586,20141.4756,-292.0829999999987,-1.4294279607273042
24,21,9.24,9.99,29.33,30916.73,30681.4,-235.3299999999981,-0.7611736428787848,34008.403,33749.54,-258.86299999999756,-0.7611736428787836,13508.35512,20500.04788,20241.18488,-258.86299999999756,-1.2627433921876166
25,22,9.68,9.99,29.33,31106.53,30901.4,-205.12999999999738,-0.659443531631453,34217.183,33991.54,-225.6429999999964,-0.6594435316314509,13650.645840000001,20566.537159999996,20340.89416,-225.6429999999964,-1.0971365682252578
26,23,10.12,9.99,29.33,31296.33,31121.4,-174.9300000000003,-0.5589473270508085,34425.963,34233.54,-192.4230000000025,-0.5589473270508147,13792.93656,20633.02644,20440.60344,-192.4230000000025,-0.9325970698460584
27,24,10.56,9.99,29.33,31486.13,31341.4,-144.72999999999956,-0.4596627149795785,34634.743,34475.54,-159.20300000000134,-0.4596627149795837,13935.22728,20699.515720000003,20540.31272,-159.20300000000134,-0.7691146119238838
28,25,11.0,9.99,29.33,31675.93,31561.4,-114.52999999999884,-0.36156791608012406,34843.523,34717.54,-125.98300000000017,-0.3615679160801282,14077.518,20766.005,20640.022,-125.98300000000017,-0.6066790410577295
29,26,11.44,9.99,29.33,31865.73,31781.4,-84.32999999999811,-0.26464166990681876,35052.303,34959.54,-92.76299999999901,-0.26464166990682186,14219.808719999999,20832.49428,20739.73128,-92.76299999999901,-0.4452803334695024
30,27,11.88,9.99,29.33,32055.53,32001.4,-54.12999999999738,-0.16886321954432632,35261.083,35201.54,-59.542999999997846,-0.16886321954432837,14362.09944,20898.98356,20839.440560000003,-59.542999999997846,-0.284908592942105
31,27,11.88,9.99,29.33,32055.53,32001.4,-54.12999999999738,-0.16886321954432632,35261.083,35201.54,-59.542999999997846,-0.16886321954432837,14362.09944,20898.98356,20839.440560000003,-59.542999999997846,-0.284908592942105
32,28,12.32,9.3,28.04,31110.04,31010.0,-100.04000000000087,-0.3215682139913702,34221.044,34111.0,-110.04400000000169,-0.32156821399137236,14034.140159999999,20186.903840000003,20076.85984,-110.04400000000169,-0.5451256957094698
33,29,12.76,9.3,28.04,31299.84,31230.0,-69.84000000000015,-0.22313213102686832,34429.824,34353.0,-76.82400000000052,-0.2231321310268694,14176.43088,20253.39312,20176.56912,-76.82400000000052,-0.37931421932524323
34,30,13.2,9.3,28.04,31489.64,31450.0,-39.63999999999942,-0.1258826712531468,34638.604,34595.0,-43.60399999999936,-0.1258826712531468,14318.721599999999,20319.882400000002,20276.278400000003,-43.60399999999936,-0.21458785607932138
35,31,13.64,9.3,28.04,31679.44,31670.0,-9.43999999999869,-0.029798506539252874,34847.384,34837.0,-10.383999999998196,-0.02979850653925183,14461.01232,20386.371679999997,20375.98768,-10.383999999998196,-0.05093598882132319
36,32,14.08,9.3,28.04,31869.239999999998,31890.0,20.760000000002037,0.06514118315969267,35056.164,35079.0,22.83600000000297,0.06514118315969473,14603.303039999999,20452.860959999998,20475.69696,22.83600000000297,0.11165186153987805
