state,consumption,system,solar_kw,scenario,panel,inverter,battery,final_cost,margin,profit,payback,irr,all_ok
TAS,10148,小型系统,3.08,原参数,489,254,782,14166.58496,21.59611499464104,4553.799999999999,10.142747546157251,14.151229089475237,False
TAS,10148,小型系统,3.08,方案1（+5%）,515,267,821,15331.748960000004,25.346256385061665,5613.040000000001,10.635104538421457,12.809836797532625,False
TAS,10148,小型系统,3.08,方案2（+8%）,528,274,844,16005.124959999997,27.35437831757302,6225.199999999997,10.879743030575092,12.110698074684478,False
TAS,10148,小型系统,3.08,方案3（+10%）,538,279,860,16477.94896,28.701055398957365,6655.040000000001,11.100268979253334,11.648577565210871,False
TAS,10148,小型系统,3.08,方案4（+12%）,548,285,876,16959.572960000005,30.022416665537932,7092.880000000001,11.300947029057754,11.200027202721685,False
TAS,10148,中小型系统,6.6,原参数,489,254,782,15226.713200000002,21.08211265535508,4857.706666666669,4.982004252402649,30.321167723741382,False
TAS,10148,中小型系统,6.6,方案1（+5%）,515,267,821,16505.9912,24.87391629711218,6020.686666666668,5.37244953280312,27.907320242957212,False
TAS,10148,中小型系统,6.6,方案2（+8%）,528,274,844,17236.4572,26.879966716099275,6684.74666666667,5.593242106896544,26.68306948035024,False
TAS,10148,中小型系统,6.6,方案3（+10%）,538,279,860,17752.929200000002,28.234879339921505,7154.26666666667,5.7241672053144645,25.875326833920553,True
TAS,10148,中小型系统,6.6,方案4（+12%）,548,285,876,18279.961199999998,29.566692179057736,7633.386666666665,5.848633966457587,25.09563184576109,True
TAS,10148,中型系统,10.56,原参数,489,254,782,19765.86872,23.334995791630437,7149.226666666666,5.107806785114786,28.767989212065004,False
TAS,10148,中型系统,10.56,方案1（+5%）,515,267,821,21468.998720000003,27.02298684155201,8697.526666666668,5.507223960630708,26.40994906250853,False
TAS,10148,中型系统,10.56,方案2（+8%）,528,274,844,22438.97872,28.96904287981801,9579.326666666668,5.715075747595381,25.21936105185887,True
TAS,10148,中型系统,10.56,方案3（+10%）,538,279,860,23126.29172,30.286325645026412,10204.15666666667,5.844533336776281,24.432846675335895,True
TAS,10148,中型系统,10.56,方案4（+12%）,548,285,876,23824.593720000004,31.575558404615677,10838.97666666667,6.016207127913699,23.677435326681007,True
TAS,10148,中大型系统,13.2,原参数,489,254,782,19499.9864,22.655748212892508,6965.346666666668,4.708525094345133,31.301756598986685,False
TAS,10148,中大型系统,13.2,方案1（+5%）,515,267,821,21213.41240000001,26.38543278411969,8523.006666666672,5.0761963752227865,28.712522445130162,False
TAS,10148,中大型系统,13.2,方案2（+8%）,528,274,844,22183.1944,28.341222782205005,9404.626666666667,5.293352595047968,27.417526990757324,True
TAS,10148,中大型系统,13.2,方案3（+10%）,538,279,860,22873.0484,29.670390339941697,10031.766666666666,5.436594939104019,26.560155965853482,True
TAS,10148,中大型系统,13.2,方案4（+12%）,548,285,876,23573.132400000002,30.96978926745927,10668.206666666669,5.593964381110351,25.73882585274987,True
TAS,10148,大型系统,19.8,原参数,489,254,782,20915.7656,22.03819966120801,7486.74666666667,4.307622645534909,34.08429581904784,False
TAS,10148,大型系统,19.8,方案1（+5%）,515,267,821,22817.9516,25.814465015953843,9216.006666666672,4.663937582048779,31.19440746959299,False
TAS,10148,大型系统,19.8,方案2（+8%）,528,274,844,23882.113600000004,27.771699270615514,10183.42666666667,4.829802272338613,29.77247049129801,False
TAS,10148,大型系统,19.8,方案3（+10%）,538,279,860,24644.567600000002,29.111696978618816,10876.56666666667,4.975678816474967,28.826458868570626,True
TAS,10148,大型系统,19.8,方案4（+12%）,548,285,876,25417.251600000003,30.419884716786207,11579.006666666672,5.141454636940339,27.923328263568692,True
NSW,7778,小型系统,3.08,原参数,489,254,782,14166.58496,21.59611499464104,4553.799999999999,10.239717456412903,13.704910254455172,False
NSW,7778,小型系统,3.08,方案1（+5%）,515,267,821,15331.748960000004,25.346256385061665,5613.040000000001,10.727298591001267,12.387529875559267,False
NSW,7778,小型系统,3.08,方案2（+8%）,528,274,844,16005.124959999997,27.35437831757302,6225.199999999997,11.003861673040364,11.700532515533268,False
NSW,7778,小型系统,3.08,方案3（+10%）,538,279,860,16477.94896,28.701055398957365,6655.040000000001,11.221489750764981,11.246292761643417,False
NSW,7778,小型系统,3.08,方案4（+12%）,548,285,876,16959.572960000005,30.022416665537932,7092.880000000001,11.412159980732064,10.80527996091405,False
NSW,7778,中小型系统,6.6,原参数,489,254,782,15226.713200000002,21.08211265535508,4857.706666666669,5.629741696843745,26.669831399340183,False
NSW,7778,中小型系统,6.6,方案1（+5%）,515,267,821,16505.9912,24.87391629711218,6020.686666666668,6.021526827827075,24.512861462426372,False
NSW,7778,中小型系统,6.6,方案2（+8%）,528,274,844,17236.4572,26.879966716099275,6684.74666666667,6.2719051121045135,23.41670510941185,False
NSW,7778,中小型系统,6.6,方案3（+10%）,538,279,860,17752.929200000002,28.234879339921505,7154.26666666667,6.428031722625011,22.692577878478914,True
NSW,7778,中小型系统,6.6,方案4（+12%）,548,285,876,18279.961199999998,29.566692179057736,7633.386666666665,6.602862935129083,21.99286951799877,True
NSW,7778,中型系统,10.56,原参数,489,254,782,19765.86872,23.334995791630437,7149.226666666666,6.159574402647245,23.47032243560534,False
NSW,7778,中型系统,10.56,方案1（+5%）,515,267,821,21468.998720000003,27.02298684155201,8697.526666666668,6.618199604581875,21.484531585883815,False
NSW,7778,中型系统,10.56,方案2（+8%）,528,274,844,22438.97872,28.96904287981801,9579.326666666668,6.838610305925489,20.478350287885405,True
NSW,7778,中型系统,10.56,方案3（+10%）,538,279,860,23126.29172,30.286325645026412,10204.15666666667,7.037243068100867,19.812218165316153,True
NSW,7778,中型系统,10.56,方案4（+12%）,548,285,876,23824.593720000004,31.575558404615677,10838.97666666667,7.237930570628244,19.171284326876048,True
NSW,7778,中大型系统,13.2,原参数,489,254,782,19499.9864,22.655748212892508,6965.346666666668,5.6084887856782215,25.977861808496527,False
NSW,7778,中大型系统,13.2,方案1（+5%）,515,267,821,21213.41240000001,26.38543278411969,8523.006666666672,6.018718100901548,23.779174764058553,False
NSW,7778,中大型系统,13.2,方案2（+8%）,528,274,844,22183.1944,28.341222782205005,9404.626666666667,6.277539474345892,22.676188321202062,True
