project_type,region,panel_count,solar_kw,inverter_kw,battery_kwh,total_with_tax,pv_stc,battery_stc,state_subsidy,total_subsidy,final_price
新建系统,NSW,1,0.0,19.5,50.32,22279.4,0.0,16419,0,16419.0,5860.4000000000015
新建系统,NSW,2,0.44,8,22.44,9869.42,142.29072,7293,739.1999999999999,8174.49072,1694.9292800000003
新建系统,NSW,3,0.88,8,22.44,9956.539999999999,284.58144,7293,739.1999999999999,8316.78144,1639.7585599999984
新建系统,NSW,4,1.32,8,22.44,10043.66,426.87216,7293,739.1999999999999,8459.07216,1584.5878400000001
新建系统,NSW,5,1.76,8,22.44,10130.779999999999,569.16288,7293,739.1999999999999,8601.36288,1529.4171199999982
新建系统,NSW,6,2.2,8,22.44,10217.9,711.4536,7293,739.1999999999999,8743.6536,1474.2464
新建系统,NSW,7,2.64,8,22.44,10305.02,853.74432,7293,739.1999999999999,8885.94432,1419.07568
新建系统,NSW,8,3.08,8,22.44,10392.14,996.0350399999998,7293,739.1999999999999,9028.23504,1363.9049599999998
新建系统,NSW,9,3.52,8,22.44,10479.26,1138.32576,7293,739.1999999999999,9170.52576,1308.7342399999998
新建系统,NSW,10,3.96,8,22.44,10566.38,1280.6164800000001,7293,739.1999999999999,9312.816480000001,1253.5635199999979
新建系统,NSW,11,3.96,8,22.44,10566.38,1280.6164800000001,7293,739.1999999999999,9312.816480000001,1253.5635199999979
新建系统,NSW,12,4.4,8,22.44,10653.5,1422.9072,7293,739.1999999999999,9455.1072,1198.3927999999996
新建系统,NSW,13,4.84,8,22.44,10740.62,1565.19792,7293,739.1999999999999,9597.397920000001,1143.2220799999996
新建系统,NSW,14,5.28,9.6,22.22,11101.09,1707.48864,7254,730.9499999999999,9692.43864,1408.6513599999998
新建系统,NSW,15,5.72,9.6,22.22,11188.210000000001,1849.7793599999995,7254,730.9499999999999,9834.729360000001,1353.4806399999998
新建系统,NSW,16,6.16,9.6,22.22,11275.33,1992.0700799999995,7254,730.9499999999999,9977.02008,1298.3099199999997
新建系统,NSW,17,6.6,9.6,22.22,11362.45,2134.3607999999995,7254,730.9499999999999,10119.3108,1243.1392000000014
新建系统,NSW,18,7.04,9.6,22.22,11449.570000000002,2276.65152,7254,730.9499999999999,10261.60152,1187.9684800000014
新建系统,NSW,19,7.48,9.6,22.22,11536.689999999999,2418.94224,7254,730.9499999999999,10403.892240000001,1132.7977599999977
新建系统,NSW,20,7.92,9.99,29.33,14251.435000000001,2561.2329600000003,9555,965.25,13081.482960000001,1169.9520400000001
新建系统,NSW,21,7.92,9.99,29.33,14251.435000000001,2561.2329600000003,9555,965.25,13081.482960000001,1169.9520400000001
新建系统,NSW,22,8.36,9.99,29.33,14338.555,2703.52368,9555,965.25,13223.77368,1114.78132
新建系统,NSW,23,8.8,9.99,29.33,14425.675,2845.8144,9555,965.25,13366.0644,1059.6106
新建系统,NSW,24,9.24,9.99,29.33,14512.795000000002,2988.1051199999997,9555,965.25,13508.35512,1004.4398800000017
新建系统,NSW,25,9.68,9.99,29.33,14599.914999999999,3130.39584,9555,965.25,13650.645840000001,949.269159999998
新建系统,NSW,26,10.12,9.99,29.33,14687.035,3272.6865599999996,9555,965.25,13792.93656,894.0984399999998
新建系统,NSW,27,10.56,9.99,29.33,14774.154999999999,3414.97728,9555,965.25,13935.22728,838.9277199999997
新建系统,NSW,28,11.0,9.99,29.33,14861.275,3557.2679999999996,9555,965.25,14077.518,783.7569999999996
新建系统,NSW,29,11.44,9.99,29.33,14948.395,3699.558719999999,9555,965.25,14219.808719999999,728.5862800000014
新建系统,NSW,30,11.88,9.99,29.33,15035.515,3841.84944,9555,965.25,14362.09944,673.4155599999995
新建系统,NSW,31,11.88,9.99,29.33,15035.515,3841.84944,9555,965.25,14362.09944,673.4155599999995
新建系统,NSW,32,12.32,9.3,28.04,14509.66,3984.140159999999,9126,924.0,14034.140159999999,475.51984000000084
新建系统,NSW,33,12.76,9.3,28.04,14596.779999999999,4126.43088,9126,924.0,14176.43088,420.34911999999895
新建系统,NSW,34,13.2,9.3,28.04,14683.9,4268.721599999999,9126,924.0,14318.721599999999,365.1784000000007
新建系统,NSW,35,13.64,9.3,28.04,14771.02,4411.01232,9126,924.0,14461.01232,310.0076800000006
新建系统,NSW,36,14.08,9.3,28.04,14858.140000000001,4553.30304,9126,924.0,14603.303039999999,254.83696000000236
新建系统,NSW,37,14.52,9.3,28.04,14945.26,4695.59376,9126,924.0,14745.59376,199.66624000000047
新建系统,NSW,38,14.96,9.3,28.04,15032.38,4837.88448,9126,924.0,14887.88448,144.49551999999858
新建系统,NSW,39,15.4,9.3,28.04,15119.5,4980.1752,9126,924.0,15030.1752,89.32480000000032
新建系统,NSW,40,15.84,9.3,28.04,15206.62,5122.465920000001,9126,924.0,15172.46592,34.15408000000025
新建系统,NSW,41,15.84,9.3,28.04,15206.62,5122.465920000001,9126,924.0,15172.46592,34.15408000000025
新建系统,NSW,42,16.28,9.3,28.04,15293.740000000002,5264.7566400000005,9126,924.0,15314.75664,-21.016639999998006
新建系统,NSW,43,16.72,9.3,28.04,15380.86,5407.04736,9126,924.0,15457.04736,-76.1873599999999
新建系统,NSW,44,17.16,9.3,28.04,15467.98,5549.3380799999995,9126,924.0,15599.33808,-131.35807999999997
新建系统,NSW,45,17.6,9.3,28.04,15555.1,5691.6288,9126,924.0,15741.6288,-186.52880000000005
新建系统,NSW,46,18.04,9.3,28.04,15642.220000000001,5833.9195199999995,9126,924.0,15883.91952,-241.6995199999983
新建系统,NSW,47,18.48,9.3,28.04,15729.340000000002,5976.210239999999,9126,924.0,16026.21024,-296.8702399999984
新建系统,NSW,48,18.92,9.3,28.04,15816.460000000001,6118.500959999999,9126,924.0,16168.50096,-352.04095999999845
新建系统,NSW,49,19.36,9.3,28.04,15903.58,6260.79168,9126,924.0,16310.79168,-407.21168000000034
