roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,old_final_cost,new_final_cost,cost_diff,cost_diff_rate,old_payback_years,new_payback_years,payback_diff_years,old_discounted_payback_years,new_discounted_payback_years,discounted_payback_diff_years,old_avg_annual_savings,new_avg_annual_savings,annual_savings_diff,old_irr,new_irr,irr_diff,old_total_20y_savings,new_total_20y_savings,total_savings_diff
64,57,25.080000000000002,19.5,50.32,45.29,38272.08,36823.720960000006,39123.028959999996,2299.30799999999,6.244094676085634,8.783619827345458,9.263270519116451,0.47965069177099373,9.307265403058265,9.794927806655592,0.4876624035973265,4303.013797240826,4303.013797240826,0.0,11.549168243072927,10.762009183963528,-0.7871590591093991,112339.19203578729,112339.19203578729,0.0
65,58,25.52,19.5,50.32,45.29,38943.52,36890.21024000001,39222.73824,2332.527999999991,6.322891587836043,8.713993739929839,9.185571700656615,0.47157796072677627,9.221313941160231,9.71985954576583,0.4985456046055994,4359.202996409407,4359.202996409407,0.0,11.690732029819628,10.88909422251163,-0.8016378073079977,113697.84245598238,113697.84245598238,0.0
66,59,25.96,19.5,50.32,45.29,39614.96,36956.69952,39322.44752,2365.7479999999996,6.401404970483683,8.642646857971856,9.094862256529469,0.4522153985576125,9.125799631160579,9.642614416343214,0.5168147851826355,4415.39219557799,4415.39219557799,0.0,11.831252921547275,11.015075886098202,-0.8161770354490727,115056.49287617746,115056.49287617746,0.0
67,60,26.4,19.5,50.32,45.29,40286.4,37023.1888,39422.1568,2398.9679999999935,6.479636351582966,8.568209290498658,9.007683711560308,0.43947442106165013,9.024320870475224,9.56129208513505,0.5369712146598253,4471.581394746572,4471.581394746572,0.0,11.970750694308663,11.139974826801335,-0.8307758675073273,116415.14329637255,116415.14329637255,0.0
68,61,26.84,19.5,50.32,45.29,40957.84,37089.67808,39521.86608,2432.188000000002,6.5575872477348875,8.486416819193444,8.911921522988038,0.42550470379459426,8.916000383056776,9.471871113942171,0.5558707308853954,4527.770593915155,4527.770593915155,0.0,12.109244494786253,11.263811056414852,-0.8454334383714013,117773.79371656779,117773.79371656779,0.0
69,62,27.28,19.5,50.32,45.29,41629.28,37156.16736000001,39621.57536,2465.407999999996,6.635259164684728,8.40336405566538,8.844163925478695,0.44079986981331487,8.838948354560033,9.384687120600411,0.5457387660403779,4583.959793083736,4583.959793083736,0.0,12.246752865758026,11.38660397627973,-0.860148889478296,119132.44413676296,119132.44413676296,0.0
70,63,27.72,19.5,50.32,45.29,42300.72,37222.65664000001,39721.28464,2498.6279999999897,6.712653597419287,8.330997663870287,8.783796974762792,0.45279931089250525,8.77107241025437,9.307946662263634,0.5368742520092642,4640.14899225232,4640.14899225232,0.0,12.383293774473714,11.508372400567168,-0.8749213739065453,120491.09455695812,120491.09455695812,0.0
71,63,27.72,19.5,50.32,45.29,42300.72,37222.65664000001,39721.28464,2498.6279999999897,6.712653597419287,8.330997663870287,8.783796974762792,0.45279931089250525,8.77107241025437,9.307946662263634,0.5368742520092642,4640.14899225232,4640.14899225232,0.0,12.383293774473714,11.508372400567168,-0.8749213739065453,120491.09455695812,120491.09455695812,0.0
72,64,28.16,19.5,50.32,45.29,42972.16,37289.14592,39820.99392,2531.847999999998,6.789772030262682,8.264244216780053,8.72448337870894,0.4602391619288877,8.702706745354647,9.234976989543986,0.5322702441893394,4696.338191420902,4696.338191420902,0.0,12.51888463521027,11.62913458319963,-0.8897500520106405,121849.74497715318,121849.74497715318,0.0
73,65,28.6,19.5,50.32,45.29,43643.6,37355.63519999999,39920.7032,2565.068000000014,6.866615936971177,8.195582897368697,8.664402897619754,0.46882000025105697,8.632693578941636,9.158317724483494,0.5256241455418582,4752.527390589485,4752.527390589485,0.0,12.653542331827339,11.748908236040734,-0.904634095786605,123208.39539734829,123208.39539734829,0.0
74,66,29.04,19.5,50.32,45.29,44315.04,37422.12448,40020.412480000006,2598.2880000000077,6.9431867808270615,8.118076020179936,8.602089452728938,0.484013432549002,8.559111110049292,9.068529800705539,0.509418690656247,4808.716589758066,4808.716589758066,0.0,12.787283240322722,11.867710557271494,-0.9195726830512285,124567.0458175435,124567.0458175435,0.0
75,67,29.48,19.5,50.32,45.29,44986.48,37488.61375999999,40120.12176000001,2631.508000000016,7.019486014731788,8.038876029160061,8.535259902100425,0.49638387294036335,8.478999080191269,8.983585371145447,0.5045862909541778,4864.905788926648,4864.905788926648,0.0,12.920123247022275,11.985558246669825,-0.9345650003524497,125925.6962377386,125925.6962377386,0.0
76,68,29.92,19.5,50.32,45.29,45657.920000000006,37555.103039999995,40219.831040000005,2664.72800000001,7.095515081297485,7.95750439520974,8.464848561840308,0.5073441666305678,8.398886133438682,8.897195943826562,0.49830981038788025,4921.09498809523,4921.09498809523,0.0,13.05207777331816,12.102467528166017,-0.9496102451521438,127284.3466579338,127284.3466579338,0.0
77,69,30.36,19.5,50.32,45.29,46329.36,37621.592319999996,40319.54032000001,2697.9480000000112,7.171275412938215,7.884832709546807,8.396274229806856,0.5114415202600489,8.328533012984009,8.83237878940273,0.5038457764187214,4977.284187263813,4977.284187263813,0.0,13.183161788765574,12.218454168032622,-0.9647076207329519,128642.9970781289,128642.9970781289,0.0
78,70,30.8,19.5,50.32,45.29,47000.8,37688.08159999999,40419.24960000001,2731.1680000000197,7.246768431959722,7.826481177875359,8.335096047255297,0.5086148693799375,8.263441568602767,8.775542227090279,0.5121006584875119,5033.473386432396,5033.473386432396,0.0,13.31338983218302,12.333533490891568,-0.9798563412914518,130001.64749832409,130001.64749832409,0.0
79,71,31.24,19.5,50.32,45.29,47672.24,37754.57088,40518.958880000006,2764.3880000000063,7.321995550648426,7.774648608731211,8.278550346974523,0.5039017382433117,8.19643458361344,8.71815404281783,0.5217194592043892,5089.662585600978,5089.662585600978,0.0,13.442776025476633,12.447720400814433,-0.9950556246622,131360.29791851918,131360.29791851918,0.0
80,72,31.68,19.5,50.32,45.29,48343.68,37821.06015999999,40618.66816,2797.6080000000075,7.396958171359752,7.722350747016793,8.221516644772507,0.49916589775571385,8.121219554118296,8.660132964515665,0.5389134103973685,5145.85178476956,5145.85178476956,0.0,13.57133409474045,12.561029392963974,-1.0103047017764766,132718.94833871425,132718.94833871425,0.0
81,72,31.68,19.5,50.32,45.29,48343.68,37821.06015999999,40618.66816,2797.6080000000075,7.396958171359752,7.722350747016793,8.221516644772507,0.49916589775571385,8.121219554118296,8.660132964515665,0.5389134103973685,5145.85178476956,5145.85178476956,0.0,13.57133409474045,12.561029392963974,-1.0103047017764766,132718.94833871425,132718.94833871425,0.0
82,73,32.12,19.5,50.32,45.29,49015.119999999995,37887.54944,40718.37744000001,2830.8280000000086,7.471657686604943,7.669706581967188,8.16312817132776,0.49342158936057157,8.043685855658461,8.600202928061076,0.5565170724026149,5202.040983938141,5202.040983938141,0.0,13.699077378987567,12.673474571056431,-1.0256028079311363,134077.59875890947,134077.59875890947,0.0
83,74,32.56,19.5,50.32,45.29,49686.560000000005,37954.03872,40818.08672000001,2864.04800000001,7.546095479137484,7.6150864305281685,8.093067799722283,0.47798136919411416,7.965306057432297,8.535743790618602,0.5704377331863046,5258.230183106725,5258.230183106725,0.0,13.826018850522814,12.78506966191344,-1.0409491886093747,135436.2491791047,135436.2491791047,0.0
