roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,old_with_tax,new_pre_tax,new_with_tax,new_vs_old_pre_tax_diff,new_vs_old_with_tax_diff,opt_pre_tax,opt_with_tax,opt_vs_old_pre_tax_diff,opt_vs_old_with_tax_diff,opt_vs_new_pre_tax_diff,opt_vs_new_with_tax_diff
2,1,0.44,8,22.44,21497.84,23647.624,20252.0,22277.2,-5.795186865285071,-5.795186865285067,19795.24,21774.764000000003,-7.919865437643961,-7.9198654376439555,-2.2553821844755997,-2.255382184475598
3,2,0.88,8,22.44,21687.64,23856.404,20472.0,22519.2,-5.6052203005951755,-5.605220300595169,20010.4,22011.440000000002,-7.733621546650525,-7.73362154665052,-2.254787026182095,-2.254787026182095
4,3,1.32,8,22.44,21877.440000000002,24065.184,20692.0,22761.2,-5.418549885178532,-5.418549885178523,20225.56,22248.116,-7.550609212046752,-7.550609212046744,-2.254204523487332,-2.254204523487333
5,4,1.76,8,22.44,22067.24,24273.964,20912.0,23003.2,-5.235090568643843,-5.235090568643833,20440.72,22484.792,-7.370745050128609,-7.370745050128602,-2.253634276970155,-2.2536342769701583
6,5,2.2,8,22.44,22257.04,24482.744000000002,21132.0,23245.2,-5.054760201715955,-5.054760201715958,20655.88,22721.468,-7.193948521456581,-7.193948521456588,-2.253075903842509,-2.2530759038425137
7,6,2.64,8,22.44,22446.84,24691.524,21352.0,23487.2,-4.877479413583383,-4.877479413583384,20871.04,22958.144,-7.020141810606746,-7.020141810606753,-2.2525290370925397,-2.252529037092546
8,7,3.08,8,22.44,22636.64,24900.304,21572.0,23729.2,-4.703171495416279,-4.703171495416279,21086.2,23194.82,-6.849249711971382,-6.849249711971389,-2.2519933246801376,-2.251993324680145
9,8,3.52,8,22.44,22826.440000000002,25109.084000000003,21792.0,23971.2,-4.531762289695643,-4.53176228969564,21301.36,23431.496,-6.681199521256935,-6.68119952125694,-2.2514684287812012,-2.2514684287812106
10,9,3.96,8,22.44,23016.24,25317.864,22012.0,24213.2,-4.363180085018238,-4.363180085018233,21516.52,23668.172,-6.51592093235038,-6.515920932350386,-2.2509540250772284,-2.250954025077239
11,9,3.96,8,22.44,23016.24,25317.864,22012.0,24213.2,-4.363180085018238,-4.363180085018233,21516.52,23668.172,-6.51592093235038,-6.515920932350386,-2.2509540250772284,-2.250954025077239
12,10,4.4,8,22.44,23206.04,25526.644,22232.0,24455.2,-4.197355516063925,-4.1973555160639195,21731.68,23904.848,-6.353345939246853,-6.353345939246845,-2.2504498020870805,-2.2504498020870773
13,11,4.84,8,22.44,23395.84,25735.424,22452.0,24697.2,-4.034221468431996,-4.034221468431989,21946.840000000004,24141.524000000005,-6.193408742750832,-6.193408742750826,-2.24995546053802,-2.24995546053802
14,12,5.28,9.6,22.22,23838.620000000003,26222.482000000004,22912.0,25203.2,-3.887053864695198,-3.887053864695198,22396.36,24635.996,-6.05009853758314,-6.050098537583148,-2.2505237430167573,-2.2505237430167657
15,13,5.72,9.6,22.22,24028.42,26431.262,23132.0,25445.2,-3.7306656034812042,-3.730665603481204,22611.52,24872.672,-5.896767244787622,-5.896767244787631,-2.250043230157356,-2.250043230157366
16,14,6.16,9.6,22.22,24218.22,26640.042,23352.0,25687.2,-3.576728595247715,-3.576728595247712,22826.68,25109.348,-5.745839289592715,-5.745839289592709,-2.249571771154504,-2.2495717711545007
17,15,6.6,9.6,22.22,24408.02,26848.822,23572.0,25929.2,-3.4251856561900573,-3.425185656190053,23041.84,25346.024,-5.597258605982789,-5.597258605982783,-2.2491091125063627,-2.2491091125063614
18,16,7.04,9.6,22.22,24597.82,27057.602,23792.0,26171.2,-3.2759813674545133,-3.275981367454508,23257.0,25582.7,-5.45097085839314,-5.450970858393136,-2.2486550100874245,-2.2486550100874245
19,17,7.48,9.6,22.22,24787.620000000003,27266.382000000005,24012.0,26413.2,-3.1290620075666906,-3.1290620075666955,23472.160000000003,25819.376000000004,-5.306923375459197,-5.3069233754592045,-2.2482092287189595,-2.248209228718962
20,18,7.92,9.99,29.33,30347.33,33382.063,30021.4,33023.54,-1.0739989317017355,-1.0739989317017375,29346.399999999998,32281.039999999997,-3.29824732521775,-3.2982473252177513,-2.2483961440838987,-2.2483961440838978
21,18,7.92,9.99,29.33,30347.33,33382.063,30021.4,33023.54,-1.0739989317017355,-1.0739989317017375,29346.399999999998,32281.039999999997,-3.29824732521775,-3.2982473252177513,-2.2483961440838987,-2.2483961440838978
