scenario,param_panel,param_inverter,param_battery,project_type,region,panel_count,solar_kw,inverter_kw,battery_kwh,pre_tax_total,total_with_tax,subsidy,final_price
极低参数,50,50,100,新建系统,NSW,48,18.92,9.3,28.04,4215.0,4636.5,16168.50096,-11532.00096
极低参数,50,50,100,新建系统,NSW,49,19.36,9.3,28.04,4237.0,4660.7,16310.79168,-11650.091680000001
极低参数,50,50,100,新建系统,NSW,50,19.8,9.3,28.04,4259.0,4684.9,16453.0824,-11768.1824
极低参数,50,50,100,新建系统,NSW,51,19.8,9.3,28.04,4259.0,4684.9,16453.0824,-11768.1824
极低参数,50,50,100,新建系统,NSW,52,20.24,19.5,50.32,7019.0,7720.9,22964.37312,-15243.47312
极低参数,50,50,100,新建系统,NSW,53,20.68,19.5,50.32,7041.0,7745.1,23106.66384,-15361.56384
极低参数,50,50,100,新建系统,NSW,54,21.12,19.5,50.32,7063.0,7769.3,23248.95456,-15479.654559999999
极低参数,50,50,100,新建系统,NSW,55,21.56,19.5,50.32,7085.0,7793.5,23391.24528,-15597.74528
极低参数,50,50,100,新建系统,NSW,56,22.0,19.5,50.32,7107.0,7817.7,23533.536,-15715.836
极低参数,50,50,100,新建系统,NSW,57,22.44,19.5,50.32,7129.0,7841.9,23675.82672,-15833.926720000001
极低参数,50,50,100,新建系统,NSW,58,22.88,19.5,50.32,7151.0,7866.1,23818.117439999998,-15952.017439999998
极低参数,50,50,100,新建系统,NSW,59,23.32,19.5,50.32,7173.0,7890.3,23960.40816,-16070.10816
极低参数,50,50,100,新建系统,NSW,60,23.76,19.5,50.32,7195.0,7914.5,24102.69888,-16188.19888
极低参数,50,50,100,新建系统,NSW,61,23.76,19.5,50.32,7195.0,7914.5,24102.69888,-16188.19888
极低参数,50,50,100,新建系统,NSW,62,24.2,19.5,50.32,7217.0,7938.7,24244.989599999997,-16306.289599999996
极低参数,50,50,100,新建系统,NSW,63,24.64,19.5,50.32,7239.0,7962.9,24387.280319999998,-16424.380319999997
极低参数,50,50,100,新建系统,NSW,64,25.080000000000002,19.5,50.32,7261.0,7987.1,24529.57104,-16542.471039999997
极低参数,50,50,100,新建系统,NSW,65,25.52,19.5,50.32,7283.0,8011.3,24671.86176,-16660.56176
极低参数,50,50,100,新建系统,NSW,66,25.96,19.5,50.32,7305.0,8035.5,24814.152479999997,-16778.652479999997
极低参数,50,50,100,新建系统,NSW,67,26.4,19.5,50.32,7327.0,8059.7,24956.443199999998,-16896.743199999997
极低参数,50,50,100,新建系统,NSW,68,26.84,19.5,50.32,7349.0,8083.9,25098.73392,-17014.833919999997
极低参数,50,50,100,新建系统,NSW,69,27.28,19.5,50.32,7371.0,8108.1,25241.02464,-17132.924639999997
极低参数,50,50,100,新建系统,NSW,70,27.72,19.5,50.32,7393.0,8132.3,25383.31536,-17251.01536
极低参数,50,50,100,新建系统,NSW,71,27.72,19.5,50.32,7393.0,8132.3,25383.31536,-17251.01536
极低参数,50,50,100,新建系统,NSW,72,28.16,19.5,50.32,7415.0,8156.5,25525.606079999998,-17369.106079999998
极低参数,50,50,100,新建系统,NSW,73,28.6,19.5,50.32,7437.0,8180.7,25667.896800000002,-17487.1968
极低参数,50,50,100,新建系统,NSW,74,29.04,19.5,50.32,7459.0,8204.9,25810.18752,-17605.287519999998
极低参数,50,50,100,新建系统,NSW,75,29.48,19.5,50.32,7481.0,8229.1,25952.47824,-17723.37824
极低参数,50,50,100,新建系统,NSW,76,29.92,19.5,50.32,7503.0,8253.3,26094.76896,-17841.468960000002
极低参数,50,50,100,新建系统,NSW,77,30.36,19.5,50.32,7525.0,8277.5,26237.05968,-17959.55968
极低参数,50,50,100,新建系统,NSW,78,30.8,19.5,50.32,7547.0,8301.7,26379.3504,-18077.6504
极低参数,50,50,100,新建系统,NSW,79,31.24,19.5,50.32,7569.0,8325.9,26521.64112,-18195.74112
极低参数,50,50,100,新建系统,NSW,80,31.68,19.5,50.32,7591.0,8350.1,26663.93184,-18313.83184
极低参数,50,50,100,新建系统,NSW,81,31.68,19.5,50.32,7591.0,8350.1,26663.93184,-18313.83184
极低参数,50,50,100,新建系统,NSW,82,32.12,19.5,50.32,7613.0,8374.3,26806.22256,-18431.92256
极低参数,50,50,100,新建系统,NSW,83,32.56,19.5,50.32,7635.0,8398.5,26948.51328,-18550.01328
极低参数,50,50,100,新建系统,NSW,84,33.0,19.5,50.32,7657.0,8422.7,27090.803999999996,-18668.103999999996
极低参数,50,50,100,新建系统,NSW,85,33.44,19.5,50.32,7679.0,8446.9,27233.09472,-18786.19472
极低参数,50,50,100,新建系统,NSW,86,33.88,19.5,50.32,7701.0,8471.1,27375.38544,-18904.28544
极低参数,50,50,100,新建系统,NSW,87,34.32,19.5,50.32,7723.0,8495.3,27517.67616,-19022.37616
极低参数,50,50,100,新建系统,NSW,88,34.76,19.5,50.32,7745.0,8519.5,27659.96688,-19140.46688
极低参数,50,50,100,新建系统,NSW,89,35.2,19.5,50.32,7767.0,8543.7,27802.2576,-19258.5576
极低参数,50,50,100,新建系统,NSW,90,35.64,19.5,50.32,7789.0,8567.9,27944.548319999998,-19376.64832
极低参数,50,50,100,新建系统,NSW,91,35.64,19.5,50.32,7789.0,8567.9,27944.548319999998,-19376.64832
极低参数,50,50,100,新建系统,NSW,92,36.08,19.5,50.32,7811.0,8592.1,28086.83904,-19494.73904
极低参数,50,50,100,新建系统,NSW,93,36.52,19.5,50.32,7833.0,8616.3,28229.12976,-19612.82976
