房屋ID,州,电网类型,屋顶总容量(kW),容量系数,扩容可用容量(kW),方案A-PV(kW),方案A-面板数,方案A-逆变器(kW),方案A-容配比(%),方案A-储能(kWh),方案A-成本($),方案A-补贴($),方案A-最终报价($),方案B-PV(kW),方案B-面板数,方案B-逆变器(kW),方案B-容配比(%),方案B-储能(kWh),方案B-成本($),方案B-补贴($),方案B-最终报价($),方案C-PV(kW),方案C-面板数,方案C-逆变器(kW),方案C-容配比(%),方案C-储能(kWh),方案C-成本($),方案C-补贴($),方案C-最终报价($)
810,NSW,single,9.24,70.0%,6.47,9.24,21,6,154.0,16,22560.56,8151.00,14409.56,9.24,21,8,115.5,9.6,17086.96,6084.00,11002.96,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
811,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
812,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
813,NSW,single,117.92,70.0%,82.54,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
814,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
815,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
816,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
817,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
818,NSW,single,11.44,70.0%,8.01,11.44,26,8,143.0,20,28289.36,10179.00,18110.36,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
819,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
820,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
821,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
822,NSW,single,1.32,70.0%,0.92,1.32,3,5,26.4,13.5,15169.33,4758.00,10411.33,1.32,3,5,26.4,9.6,11458.48,3510.00,7948.48,1.32,3,5,26.4,6.5,8508.83,2496.00,6012.83
823,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
824,NSW,single,23.76,70.0%,16.63,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
825,NSW,single,13.2,70.0%,9.24,13.20,30,8,165.0,20,29334.80,10764.00,18570.80,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
826,NSW,single,8.36,70.0%,5.85,8.36,19,5,167.2,13.5,19351.09,7059.00,12292.09,8.36,19,5,167.2,9.6,15640.24,5811.00,9829.24,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
827,NSW,single,14.08,70.0%,9.86,14.08,32,8,176.0,21.12,30923.20,11388.00,19535.20,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
828,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
829,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
830,NSW,single,7.48,70.0%,5.24,7.48,17,5,149.6,13.5,18828.37,6786.00,12042.37,7.48,17,5,149.6,9.6,15117.52,5538.00,9579.52,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
831,NSW,single,10.56,70.0%,7.39,10.56,24,6,176.0,16,23344.64,8580.00,14764.64,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
832,NSW,single,13.2,70.0%,9.24,13.20,30,8,165.0,20,29334.80,10764.00,18570.80,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
833,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
834,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
835,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
836,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
837,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
838,NSW,single,9.24,70.0%,6.47,9.24,21,6,154.0,16,22560.56,8151.00,14409.56,9.24,21,8,115.5,9.6,17086.96,6084.00,11002.96,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
839,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
840,NSW,single,11.44,70.0%,8.01,11.44,26,8,143.0,20,28289.36,10179.00,18110.36,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
841,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
842,NSW,single,20.68,70.0%,14.48,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
843,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
844,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
845,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
846,NSW,single,12.76,70.0%,8.93,12.76,29,8,159.5,20,29073.44,10608.00,18465.44,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
847,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
848,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
849,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
850,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
851,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
852,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
853,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
854,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
855,NSW,single,14.08,70.0%,9.86,14.08,32,8,176.0,21.12,30923.20,11388.00,19535.20,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
856,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
857,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
858,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
859,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
860,NSW,single,7.48,70.0%,5.24,7.48,17,5,149.6,13.5,18828.37,6786.00,12042.37,7.48,17,5,149.6,9.6,15117.52,5538.00,9579.52,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
861,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
862,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
863,NSW,single,10.56,70.0%,7.39,10.56,24,6,176.0,16,23344.64,8580.00,14764.64,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
864,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
865,NSW,single,5.28,70.0%,3.70,5.28,12,5,105.6,13.5,17521.57,6045.00,11476.57,5.28,12,5,105.6,9.6,13810.72,4797.00,9013.72,5.28,12,5,105.6,6.5,10861.07,3783.00,7078.07
866,NSW,single,8.36,70.0%,5.85,8.36,19,5,167.2,13.5,19351.09,7059.00,12292.09,8.36,19,5,167.2,9.6,15640.24,5811.00,9829.24,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
867,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
868,NSW,single,9.24,70.0%,6.47,9.24,21,6,154.0,16,22560.56,8151.00,14409.56,9.24,21,8,115.5,9.6,17086.96,6084.00,11002.96,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
869,NSW,single,8.36,70.0%,5.85,8.36,19,5,167.2,13.5,19351.09,7059.00,12292.09,8.36,19,5,167.2,9.6,15640.24,5811.00,9829.24,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
870,NSW,single,13.64,70.0%,9.55,13.64,31,8,170.5,20.46,30033.85,11076.00,18957.85,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
871,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
872,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
873,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
874,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
875,NSW,single,11.88,70.0%,8.32,11.88,27,8,148.5,20,28550.72,10335.00,18215.72,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
876,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
877,NSW,single,10.12,70.0%,7.08,10.12,23,6,168.7,16,23083.28,8424.00,14659.28,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
878,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
879,NSW,single,14.96,70.0%,10.47,14.96,34,10,149.6,22.44,33317.90,12129.00,21188.90,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
880,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
881,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
882,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
883,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
884,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
885,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
886,NSW,single,10.12,70.0%,7.08,10.12,23,6,168.7,16,23083.28,8424.00,14659.28,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
887,NSW,single,8.36,70.0%,5.85,8.36,19,5,167.2,13.5,19351.09,7059.00,12292.09,8.36,19,5,167.2,9.6,15640.24,5811.00,9829.24,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
888,NSW,single,18.92,70.0%,13.24,18.92,43,10,189.2,28.380000000000003,41322.05,15327.00,25995.05,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
889,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
890,NSW,single,14.08,70.0%,9.86,14.08,32,8,176.0,21.12,30923.20,11388.00,19535.20,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
891,NSW,single,9.24,70.0%,6.47,9.24,21,6,154.0,16,22560.56,8151.00,14409.56,9.24,21,8,115.5,9.6,17086.96,6084.00,11002.96,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
892,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
893,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
894,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
895,NSW,single,18.48,70.0%,12.94,18.48,42,10,184.8,27.72,40432.70,15015.00,25417.70,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
896,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
897,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
898,NSW,single,2.2,70.0%,1.54,2.20,5,5,44.0,13.5,15692.05,5070.00,10622.05,2.20,5,5,44.0,9.6,11981.20,3822.00,8159.20,2.20,5,5,44.0,6.5,9031.55,2808.00,6223.55
899,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
900,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
901,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
902,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
903,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
904,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
905,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
906,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
907,NSW,single,2.2,70.0%,1.54,2.20,5,5,44.0,13.5,15692.05,5070.00,10622.05,2.20,5,5,44.0,9.6,11981.20,3822.00,8159.20,2.20,5,5,44.0,6.5,9031.55,2808.00,6223.55
908,NSW,single,17.6,70.0%,12.32,17.60,40,10,176.0,26.400000000000002,38654.00,14235.00,24419.00,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
909,NSW,single,17.6,70.0%,12.32,17.60,40,10,176.0,26.400000000000002,38654.00,14235.00,24419.00,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
910,NSW,single,10.56,70.0%,7.39,10.56,24,6,176.0,16,23344.64,8580.00,14764.64,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
911,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
912,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
913,NSW,single,17.6,70.0%,12.32,17.60,40,10,176.0,26.400000000000002,38654.00,14235.00,24419.00,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
914,NSW,single,10.56,70.0%,7.39,10.56,24,6,176.0,16,23344.64,8580.00,14764.64,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
915,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
916,NSW,single,5.28,70.0%,3.70,5.28,12,5,105.6,13.5,17521.57,6045.00,11476.57,5.28,12,5,105.6,9.6,13810.72,4797.00,9013.72,5.28,12,5,105.6,6.5,10861.07,3783.00,7078.07
917,NSW,single,15.84,70.0%,11.09,15.84,36,10,158.4,23.759999999999998,35096.60,12831.00,22265.60,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
918,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
919,NSW,single,121.0,70.0%,84.70,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
920,NSW,single,23.32,70.0%,16.32,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
921,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
922,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
923,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
924,NSW,single,3.96,70.0%,2.77,3.96,9,5,79.2,13.5,16737.49,5616.00,11121.49,3.96,9,5,79.2,9.6,13026.64,4368.00,8658.64,3.96,9,5,79.2,6.5,10076.99,3354.00,6722.99
925,NSW,single,14.08,70.0%,9.86,14.08,32,8,176.0,21.12,30923.20,11388.00,19535.20,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
926,NSW,single,14.08,70.0%,9.86,14.08,32,8,176.0,21.12,30923.20,11388.00,19535.20,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
927,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
928,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
929,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
