房屋ID,原始州,计算州,方案类型,PV容量_kW,面板数量,电池容量_kWh,投资成本,年用电量_kWh,年发电量_kWh,年自用量_kWh,自用率,回本周期_年,简单回本_年,贴现回本_年,IRR,投资年限,总节省
1,QLD,NSW,高端型,0.88,2,9.1,6200,7778,1302.59,1302.59,100.00%,11.12,11.12,11.96,7.47%,20,13174.40
1,QLD,VIC,高端型,0.88,2,9.1,6200,6778,1302.59,1302.59,100.00%,11.12,11.12,11.96,7.47%,20,13174.40
1,QLD,QLD,高端型,0.88,2,9.1,6200,7270,1302.59,1302.59,100.00%,11.12,11.12,11.96,7.47%,20,13174.40
1,QLD,SA,高端型,0.88,2,9.1,6200,7129,1302.59,1302.59,100.00%,11.12,11.12,11.96,7.47%,20,13174.40
1,QLD,WA,高端型,0.88,2,9.1,6200,7634,1302.59,1302.59,100.00%,11.12,11.12,11.96,7.47%,20,13174.40
1,QLD,TAS,高端型,0.88,2,9.1,6200,10148,1302.59,1302.59,100.00%,11.12,11.12,11.96,7.47%,20,13174.40
1,QLD,NT,高端型,0.88,2,9.1,6200,10008,1302.59,1302.59,100.00%,11.12,11.12,11.96,7.47%,20,13174.40
1,QLD,ACT,高端型,0.88,2,9.1,6200,8632,1302.59,1302.59,100.00%,11.12,11.12,11.96,7.47%,20,13174.40
1,QLD,NSW,平衡型,0.88,2,6.6,4653,7778,1302.59,1302.59,100.00%,8.76,8.76,9.22,11.05%,20,13174.40
1,QLD,VIC,平衡型,0.88,2,6.6,4653,6778,1302.59,1302.59,100.00%,8.76,8.76,9.22,11.05%,20,13174.40
1,QLD,QLD,平衡型,0.88,2,6.6,4653,7270,1302.59,1302.59,100.00%,8.76,8.76,9.22,11.05%,20,13174.40
1,QLD,SA,平衡型,0.88,2,6.6,4653,7129,1302.59,1302.59,100.00%,8.76,8.76,9.22,11.05%,20,13174.40
1,QLD,WA,平衡型,0.88,2,6.6,4653,7634,1302.59,1302.59,100.00%,8.76,8.76,9.22,11.05%,20,13174.40
1,QLD,TAS,平衡型,0.88,2,6.6,4653,10148,1302.59,1302.59,100.00%,8.76,8.76,9.22,11.05%,20,13174.40
1,QLD,NT,平衡型,0.88,2,6.6,4653,10008,1302.59,1302.59,100.00%,8.76,8.76,9.22,11.05%,20,13174.40
