面板编号,位置坐标 X,位置坐标 Y,位置坐标 Z,朝向角度 (degrees),朝向描述,坡度 (radians),坡度 (degrees),计算状态,年度总发电量 (kWh),1月发电量 (kWh),2月发电量 (kWh),3月发电量 (kWh),4月发电量 (kWh),5月发电量 (kWh),6月发电量 (kWh),7月发电量 (kWh),8月发电量 (kWh),9月发电量 (kWh),10月发电量 (kWh),11月发电量 (kWh),12月发电量 (kWh)
面板 1,-4.46,7.82,-1.26,90.15,东 (East),0.4014,23.0,成功,16.15,2.2,1.85,1.37,0.95,0.63,0.5,0.58,0.84,1.27,1.71,2.01,2.23
面板 2,2.89,7.82,4.84,-89.85,西 (West),0.4014,23.0,成功,16.15,2.2,1.85,1.37,0.95,0.63,0.5,0.58,0.84,1.27,1.71,2.01,2.23
