屋顶编号,光伏面板数量,朝向描述,朝向角度 (degrees),坡度 (degrees),中心坐标 X,中心坐标 Y,中心坐标 Z
屋顶 4,1,西 (West),-89.85,23.0,-9.14,3,1.19
屋顶 6,1,东 (East),90.15,23.0,3.02,3,4.79
