review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
99791,Sam,VIC - 3043,VIC,3043,True,2022-05-10,10 May 2022,1.0,,Please stay away. Used bad subbies and equipment for my install.,1.0,1.0,1.0,1.0,2kW,"$2,000 to $4,000",,,,False,[],0,0
86902,Andrea,WA - 6076,WA,6076,True,2021-02-17,17 February 2021,5.0,,"everything was easy they organised the meter to be upgraded, bookin installation date and I requested a change and they brought if forward by a few days. ON the day they were in and out very quickly and clean up after them selfGreat communication in regards to how to place the solar panels why and best options available on the day",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Fronius,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
21758,Scott,VIC - 3195,VIC,3195,True,2014-02-26,26 February 2014,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
