review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139701,Vivek,VIC - 3805,VIC,3805,True,2025-11-10,10 November 2025,5.0,,"Contacted Amazon Energy to install a battery (30kWh Midea Hiconics) and 6.6kW solar panel system. Was very prompt with all the replies and the was helpful with all the questions. 10% deposit was paid. Due to a cancellation from another customer, my installation got pushed to the front and got schedule 2 days after the deposit (deposit to complete installation in 3 days!).The installation was done really well with nothing to fault. The place was left tidy afterwards with all rubbish removed.The installers were also really well knowledgable and were happy to answer all questions. Lee (director) also came to visit the installation to make sure everything was going to plan.Overall a great process. Now just need to see how reliable the Midea Hiconics is over the long term but I just wanted a simple battery system that just does its own thing without any fancy extras.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",JA Solar,Midea Hiconics (Other),Midea Hiconics (Other),,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/408ae21559ba5bc6ef031048ca8130ec0.jpg']",0,0
139560,Damon,WA - 6157,WA,6157,True,2025-11-07,07 November 2025,4.5,,"The quoting process was very good. The representative was friendly and answered all my questions. The quality of installation was great, the guys were polite and did the work efficiently (as far as I could tell). The final installation was neat and tidy. All the paperwork was done for me and they explained the system and got the app working . The whole system was working when they left. Very happy so far.",4.0,4.0,5.0,5.0,5kW,,Risen,Alpha Technologies,Alpha-ESS,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/948e538367b6e3ef3bf5800c331813760.jpg']",0,0
139264,Martin,WA - 6008,WA,6008,True,2025-11-01,01 November 2025,4.25,,"An interesting and ultimately good experience with Amazon Energy.They responded very quickly with a couple of similar options and I decided to go with the FoxEss system they offered - 6.6kW of Solar Panels, 5.5kW inverter and ~14kWh of battery - as this seemed the most appropriate.Also useful to know that it was the cheapest quote I got in terms of cost per kWh of batteries - this system was basically the same price as an alternative with a 10kWh battery.Since we use most of our power in the morning and then again in the evening I was keen to ensure we had enough storage to best use the power generated.I have previously installed 2 solar systems (without batteries) in 2011 and 2015 so have a good understanding of the generation vs use time patterns.Amazon were also quick to lock in an installation day - Monday 27 October 8am.On the day I got a message at 8.15am saying that the sales person's car had broken down but ""the installers should be there"" - they weren't. After replying that no one had arrived we heard they were stuck in traffic. I then found out there had been a bad accident at the Freeway exit and so understood why they were late. Unfortunately, as they didn't arrive until around 10.00am they were unable to finish on the day and said they would return on the next day.That afternoon I got an email requesting a review and payment, I answered that it was a bit premature for either.I again expected them at 8am, and arranged to work from home. They arrived at 9am and started work.At around 1pm they said they were nearly finished and started turning the system on. They got me on the app and linked to the inverter and I immediately saw that there was something wrong. Apparently the house was using 10kW, with only a fridge turned on I knew that was impossible. The team were obviously keen to get away and tried to tell me it was nothing to do with them as all they had done was remove the old solar and installed the new system and had not touched anything in the house. With the old 3kW system I knew that generally between 10am and 2pm we were exporting excess energy, so I explained that I didn't agree with them and that they needed to stay and sort the problem out. We then isolated several circuits and at one point discovered that the house was apparently exporting 10kW of power in addition to the 5kW being produced by the panels at the time. It was at this point that the electrician agreed something was wrong. They then called the Fox back up team and quickly found out that they had mis-wired the smart meter. This was quickly corrected (although the mistake was not explained to me initially) and the system was finally commissioned at around 3.30pm.On Tuesday I received another request for payment, to which I replied that I would like to understand the problem, and fix, and to make sure that the system was indeed safe and working properly before making payment.Amazon followed up with a call on Friday where we discussed the issues in more detail, for which I am grateful.They also sent through the Electrical Safety Certificate confirming that everything had been checked and installed correctly.Since Tuesday afternoon we have been 100% self-sufficient in our electrical use. The battery is generally fully charged by around 1.30pm and we then export to the grid. Overnight the battery is discharging to somewhere between 30-50% at the moment although I expect that to increase once we start using the aircon.I am very happy with the system, and although we had a couple of issues wiht the installation, it did get resolved appropriately.Thanks Amazon Team. I am happy to recommend you to others.",5.0,5.0,3.0,4.0,6.6kW,"$10,000 to $12,500",Risen,Fox ESS,Fox ESS,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fox-ess.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_fox-ess.png']",0,0
136678,Khanh,VIC - 3173,VIC,3173,True,2025-09-01,01 September 2025,4.75,,"Lee from Amazon Energy was great to work with, providing clear information on the system and answering questions promptly.The installation was neat, and the installer guided us on how to use the app, as well as how the wiring was laid out.Only minor issue with back and forth from administration team",5.0,5.0,5.0,4.0,,"$6,000 to $8,000",,,Alpha-ESS,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
136241,Greg,VIC - 3141,VIC,3141,True,2025-08-19,19 August 2025,4.75,,My system was installed in June and has been running flawlessly since then.The ESS battery and software has been working very well and I have had a number of days in July/August where my property has been effectively off grid.The service and pricing from Amazon was above my expectations.,5.0,5.0,4.0,5.0,10kW,"$6,000 to $8,000",,Alpha Technologies,Alpha-ESS,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
136116,Udukumburage,VIC - 3173,VIC,3173,True,2025-08-14,14 August 2025,5.0,,"Best value for money for solar batteries. Got batteries with same cell as Tesla batteries but one third of a price with good warranty. Customer service, quoting and installation was very smooth. highly recommended.",5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,,,5.0,False,[],0,0
136088,David,VIC - 3195,VIC,3195,True,2025-08-14,14 August 2025,4.5,,"I engaged Amazon Energy for my new solar-battery system because they visited me to discuss our needs on site. Having met them personally, I trusted them to do a good job, and they did. Our new 9.7 KW system and battery is working well.",4.0,4.0,5.0,5.0,10kW,"$10,000 to $12,500",,,Alpha-ESS,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
135382,Cheryl,VIC - 3196,VIC,3196,True,2025-07-16,16 July 2025,5.0,,Lee was very accommodating and helpful when I was choosing my solar battery and very competitive pricing.  He personally attended the site several times.The installers did the job to schedule and were very neat and efficientWould highly recommend Lee and his team,5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,,,,False,[],0,0
134651,Sharryn,VIC - 3783,VIC,3783,True,2025-06-25,25 June 2025,5.0,,Lee was amazing to deal with. Everything from the quote to installation was personally overseen and nothing was too much trouble. Thank you so much for a great experience.,5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",,,,,,False,[],0,0
134182,Gary,VIC - 3805,VIC,3805,True,2025-06-08,08 June 2025,5.0,,Lee Faisal Managing Director Amazon Energy definitely deserves a 5 star recommendation for the 10kWh Solar Battery his company has provided . Lee personally conducted 2 convenient on-site visits & his knowledge & the professional/courteous service provided is outstanding!,5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,Alpha-ESS,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
