review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
44318,Jesse,QLD - 4870,QLD,4870,True,2018-02-16,16 February 2018,2.25,,"Beware of this provider. Their installation team were very messy and I am still finding wire clippings and bits of plastic 12 months after they left. They did not use enough silicon on the conduit through the roof causing a leak, which they have refused to fix.",4.0,3.0,1.0,1.0,5kW,"$3,000 to $6,000",,,,False,[],0,0
37335,Ron,QLD - 4800,QLD,4800,True,2017-08-11,11 August 2017,2.0,,"Buyer beware when using this company, They tried all the tricks in the book for more money, saying they didn't allow for cable runs this length, cant get cables where you want them, tried to convince you to install the inverter inside your house for their ease of instalment. When you refuse to pay the extra money, they'll come up with an excuse and that's the last you see of them. Nothing but bad, want more money when  on site and wont do as you ask.If this is service when it comes to an installation, you can bet there is no back up support when you have a problem.Stay well away form this company",3.0,3.0,1.0,1.0,6kW,"$3,000 to $6,000",,,,False,[],0,0
32543,Kym,QLD - 4870,QLD,4870,True,2016-11-30,30 November 2016,2.75,,"Unfortunately the industry is littered with average tradesmen that devalues the industry as a whole and I am talking from first hand experience. Once you have paid don't expect any further customer service.  Thought our system was underperforming so after many visits from the electricity supplier, we sought an independent tradesman trained in this field to come and review the implementation and surprise, surprise, yes the installation was not properly installed.  Have approached Solartricity who are based in Manunda, a suburb of Cairns and who sold and installed the system, but without any response to date.  Buyer beware",3.0,4.0,2.0,2.0,5kW,"$3,000 to $6,000",,,,False,[],0,0
26827,Annemaree,QLD - 4860,QLD,4860,True,2015-07-19,19 July 2015,5.0,,,5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
26197,Bill,QLD - 4861,QLD,4861,True,2015-05-18,18 May 2015,4.25,,,4.0,4.0,5.0,4.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
25745,Beverley,QLD - 4881,QLD,4881,True,2015-04-01,01 April 2015,4.0,,"The salesperson  who was my first contact was extremely pleasant, helpful and knowledgeable. On a visit to my home and a check of the roof line axis and my latest energy bill, he advised me that the 3kw was the best size to go for. He was very helpful in discussing payment options, and in my case I was impressed by his honest and integrity.The panels went on and up very quickly within 3 hours with very little interruption to the home. I was given plenty of written information on the system with what to do in the event of any emergency.Overall a good experience.",4.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",,,,False,[],0,0
25728,Chris,QLD - 4880,QLD,4880,True,2015-03-31,31 March 2015,3.5,,I have very little knowledge of these systems but I felt confident in the information I was being given by the company,3.0,3.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
25068,Michael,QLD - 4880,QLD,4880,True,2015-01-25,25 January 2015,4.0,,,4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
24063,Peter,QLD - 4868,QLD,4868,True,2014-10-17,17 October 2014,5.0,,"Over all great service, very easy to deal with and very customer focused",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
