review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
126673,Hannah,NSW - 2144,NSW,2144,True,2024-10-08,08 October 2024,5.0,,"David and the team Edisun Group were amazing to work with. They went above and beyond to make this entire process as smooth as possible.We had a bit of a trickier situation than most as we are apart of an embedded network, but David and the team liaised with our real estate and electricity provider to make things work.We had loads of solar companies come round and try and sell to us, but no one was as knowledgeable and professional as Edisun. Thank you so much again, guys!",5.0,5.0,5.0,5.0,more than 30kW,"More than $20,000",,Fronius,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
115890,Peter,QLD - 4106,QLD,4106,True,2023-10-25,25 October 2023,5.0,,Edisun were professional from the outset and instilled confidence to make an informed decision.Workmanship and service was excellent and I will be asking Edisun to establish solar to other property's shortly.,5.0,5.0,5.0,5.0,more than 30kW,"More than $20,000",REC,Fronius,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/98d0b7dafca922464c84ae962b3fdbb30.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/98d0b7dafca922464c84ae962b3fdbb30.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/78d6e5ff4984bd8cf08f26c3a5325e851.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/78d6e5ff4984bd8cf08f26c3a5325e851.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b754c62970d836ce840b2e86013fd78c2.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b754c62970d836ce840b2e86013fd78c2.jpg']",0,0
