review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,battery_rating,has_images,image_urls,overall_rating,quality_rating
138012,Dan,NSW - 2250,NSW,2250,True,2025-10-01,01 October 2025,5.0,,"A very successfull installation completed today by the SJ Power install team lead by Ethan. 48kw Sigenergy battery, 30kw 3P inverter + Gateway providing full backup during power interruptions, which occur frequently were I live. Everyone was very efficient, professional and I was impressed by their work ethic. They communicated well with me to insure a successful install was achieved. My appreciation also goes to Shae and Clare to get this project going from day one and making sure everything was going smoothly. Shae is definitely running a efficient operation.Thank you to all involved.",5.0,5.0,5.0,5.0,8kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
135486,Roger,NSW - 2250,NSW,2250,True,2025-07-21,21 July 2025,5.0,,"The team from SJ Power were great with our battery install. Shae was very helpful during the site visit talking through the best options for our situation. The guys that did the install were very professional, on time and cleaned up afterwards. Very happy with the final product.",5.0,5.0,5.0,5.0,,"$15,000 to $20,000",,,SolarEdge,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png'],0,0
