review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
36255,Gentianne14,VIC - 3414,VIC,3414,True,2017-06-19,19 June 2017,1.5,,"Solar panels installed in the shade, a million scratches on a newly repainted roof (refused to reimburse anything), junk left everywhere including in gutters which collect drinking water, electrical line run through attic man hole, guys came from 2-3h away when there is solar installers near by so they are not CO2 emission conscious (for a solar company that's a joke!),... I think that's enough to have a good idea of who they are!",2.0,2.0,1.0,1.0,4kW,"$3,000 to $6,000",,,,False,[],0,0
33053,Lyn,NSW - 2223,NSW,2223,True,2017-01-03,03 January 2017,2.5,,"I've rated the Customer Service as awful due to the fact that, without explanation, Roofjuice has now gone out of business without completing our installation. They've installed 7 LG solar panels and 7 Enphase micro inverters but we are still without a net meter.The installation of the panels and micro inverters was fraught with problems. They had installed the railings and taken the panels up onto the roof only to discover that instead of the S270 inverters specified by the quote they had the smaller size. This necessitated them driving into Ultimo to exchange the inverters. Two hours later upon their return they went up onto the roof to complete the installation only to discover that yet again they had the wrong size inverters as they had only checked the top box. By now it was 3.30pm on a Friday afternoon so they removed the panels and stored them in our garage as they didn't want to transport them back to Newcastle. The installers were assured by Brett Bidwell that he would personally complete the installation the following Monday, which didn't transpire. One week later, during which time we couldn't park our car in the garage, the same installers returned and finally finished the installation with help from Brett who set up the MyEnlighten monitoring system.Part of our contract specified that Roofjuice would install a net meter. Despite our signing over our STCs to the company this did not happen. A week later on 16/12 when we rang enquiring about the net meter the phone was answered by a representative of Australia Wide Solar who informed us that Roofjuice was no longer in business!!! Subsequent attempts to find out who is responsible for installation of the meter and who covers the warranty of our system have met with no success.As of today, 3/1/17, we still have no meter and are exporting all our power to the grid.Not happy Jan!!!!!",3.0,4.0,2.0,1.0,2kW,"$6,000 to $10,000",,,,False,[],0,0
32933,Tim,NSW - 2540,NSW,2540,True,2016-12-24,24 December 2016,2.5,,"The system was quoted for first up in Feb 2016. It was partially installed (connected to the grid, but functional) by August, reconnected by the end of October(!) after we had to approach the Dept of Fair Trading for support, and is still incompletely installed.The response we now have is that ""we have all been made redundant and you (can fix it yourself) - my summary of their advice in parentheses.Up front they appeared very promising, but our experience has not lived up to their promise.",3.0,4.0,1.0,2.0,5kW,"$15,000 to $20,000",,,,False,[],0,0
31109,Matthew,NSW - 2880,NSW,2880,True,2016-07-23,23 July 2016,3.67,,I am still waiting for an install date after accepting their quote on 5th June,4.0,4.0,0,3.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
