review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,has_images,image_urls,overall_rating,quality_rating
39070,Simon,VIC - 3551,VIC,3551,True,2017-10-11,11 October 2017,1.25,,Installer went bust and i have had 3 inverters - so many cowboys out there - won't make the same mistake again,1.0,2.0,1.0,1.0,5kW,"$10,000 to $15,000",Shanghai Solar Energy S and T,,,1.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_shanghai-solar-energy-s-and-t.png'],0,0
38699,Erosh,VIC - 3810,VIC,3810,True,2017-09-28,28 September 2017,5.0,,,5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",Seraphim,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png'],0,0
34102,David,QLD - 4207,QLD,4207,True,2017-03-03,03 March 2017,1.5,,"Everyone who has had solar panels installed need to check all their panels as they may have a BIG PROBLEM with SNAIL TRAILS AND MICRO CRACKS, and DO NOT cover this under their WARRANTY. I have 24 panels and 16 of them have this PROBLEM. BE CAREFUL USING RENESOLA.",2.0,1.0,2.0,1.0,6kW,"$6,000 to $10,000",Renesola,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_renesola.png'],0,0
