review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
105633,Bob,VIC - 3124,VIC,3124,True,2022-11-23,23 November 2022,3.5,,"Chose Enervest because their premises were closest to my location and the salesman visited (Got 16 quotes). However their electrician/installer was located 75km away.Flat, part shady roof  so panels set up in 5 groups after I tested shade with Suneye unit and Sunsurveyor photo app to establish best locations.So a lot of conduiting on the roof but neatly done as was the control panel in the garage.Enphase inverters monitoring app (enlighten) initially very basic in 2019 but after many upgrades can now get cost and usage/production values without having to use pencil/paper and a calculator.Comms problem with garage located Enphase control panel and gateway not addressed by Enervest. Had to get Dr Nerd in to fix at my expense.Failure of Enphase gateway device in 2022 replaced by Enervest under warranty.I estimated the financial payback for the system was 9 years. Enervest reckoned 6 to 7 years. After 3 years and conversion of the HWS from gas to heat pump (ie more electricity use) it is working out to 8 years approx.",4.0,4.0,4.0,2.0,5kW,"$8,000 to $10,000",REC,,,4.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png'],0,0
90884,John,VIC - 3125,VIC,3125,True,2021-06-22,22 June 2021,4.75,,"By far the best value, very accommodating in terms of my special requests for installation.",5.0,5.0,4.0,5.0,5kW,"$12,500 to $15,000",,,Sonnen,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sonnen.png'],0,0
89353,Joseph,VIC - 3149,VIC,3149,True,2021-05-02,02 May 2021,4.5,,"I know the title is somewhat negative, but 80% positive experience with this company.Got matched on SolarQuotes and they called within 24 hours to set up a time.Despite the pandemic, they were one of the few willing to come out to view the property and see what they were dealing with - which I thought was better than just satellite images. I was pleased with Gavin's explanations and quoting.Quote was done on 2nd Feb.I took my time researching and they were willing to negotiate so we signed on 16th Feb.A new 'Project Manager' got in contact with me on 17th Feb.Somehow the invoice got 'lost' and didnt get to my email - until I had to ask a week later why my installation was not progressing.Once I paid, I didn't hear anything for another week so had to contact them - they said things were delayed because of COVID19 so I let it slide.They offered a date on 23rd March but I had to postpone it.Finally installed on 29th March. The installation itself took all day but seemed straightforward enough. Jonathan was punctual and respectful.The only difference was that they ended up placing the inverter on a west-facing wall which was not planned in the quote - and had to be reassured that the Sungrow inverter was rated to temperatures of 60C without needing shade.I was surprised to learn that the system was not turned on until an inspection was done - something I had not come across on the SolarQuotes education pages.They were unable to tell me when the inspection was being done so my system remained off until 12th April, and only received the CES on 16th April.They forwarded the documents needed to my retailer (Amber) but there were a few hiccups with the file format being wrong so that stretched things out until 23rd April.It then took until 28th April for me to start receiving my FiT.TL;DRDecent company, good sales, good staff, competitive pricing, decent installation workTook longer than I expected to get things going. Key time points:- SolarQuotes to contact = 1 day- Time from contract to installation = ~1 month- Installation to inspection = 14 days- Inspection to grid connection/FiT = 5 days (this is probably United and Amber's problem)",5.0,5.0,4.0,4.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ce12787b95f3c00f66fb13a5ab98175b0.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ce12787b95f3c00f66fb13a5ab98175b0.jpg']",0,0
83399,Kamala,VIC - 3941,VIC,3941,True,2020-11-09,09 November 2020,5.0,,Sales quoting was easy and very helpfulInstallation was punctual and tidy all in all very helpful,5.0,5.0,5.0,5.0,4kW,"$2,000 to $4,000",Risen,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
