review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
136267,Ben,NSW - 2576,NSW,2576,True,2025-08-20,20 August 2025,5.0,,"I have used Simmark twice so far in 2025 — to install a new Daikin AC system in May and a Sigenergy SigenStor 16kWh home battery in August.As always with this company, I was incredibly impressed with the efforts of its Southern Highlands based tech team.  Peter, Luke, Rob, Shane, Cam, Jack and Max (and several others whose names escape me!) were friendly, courteous, cooperative, easy to communicate with and extremely conscientious about getting every aspect of my battery installation 100% right from start to finish.The team went above and beyond the standards of professionalism I expect from qualified tradespeople and their level of customer service — from the initial visit/battery & new solar panel quote to completion of my system and walking me through the steps of how it was configured, powered and operates — was nothing short of excellent. They also took the time to patiently explain the safety features and how to properly switch the unit on and off which, of course, is critical information that needed to be clearly understood. They made feel comfortable that I could respond quickly and appropriately in case of a battery-related emergency which was greatly appreciated.Simmark did a fantastically consistent job of installing my SigenStor unit and will always be my first choice should I need to undertake any new home-based electrical projects in the future.",5.0,5.0,5.0,5.0,8kW,"More than $20,000",,,Sigenergy,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a9ac6fd8a01da072a8811058cc5e96fd0.JPG', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a9ac6fd8a01da072a8811058cc5e96fd0.JPG']",0,0
123042,Dave,NSW - 2541,NSW,2541,True,2024-06-13,13 June 2024,3.75,,"I had no problem with getting a quote, and when I agreed to pay, they gave a estimated installation date, and they arrived as agreed after confirming the week before.On installation day the guys arrived on time and ready to go.  The first action was to remove the existing 3kW system and they did this promptly.  Next the guys set up the racking.  When that was complete others arrived on site to get the panels safely on the roof. These were promptly installed as well and then another electrician arrived to install the inverter.Everything was complete by the end of the day, neatly installed and operating.",3.0,4.0,4.0,4.0,6.6kW,"$8,000 to $10,000",Winaico,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e4c61d547d832d46f1cf4a9bb495a6f10.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7e103042effff9d4d4cb24695c3aa00a1.jpg']",0,0
107217,Rob,NSW - 2536,NSW,2536,True,2023-01-11,11 January 2023,4.5,,"In addition to supply and installation of a solar PV system I required relocation of an existing electric HWS from inside the garage to an exterior location and supply and installation of a CatchPower diverter for hot water heating.  A representative from Simmark Batemans Bay visited the property to check the physical layout and discuss my requirements. Simmark subsequently provided separate quotes for the three work elements noting that, where possible, work would be carried out concurrently. As it turned out, the HWS relocation was done on one day and the solar and CatchPower installations were completed over two days a week later. There was minimal disruption to the household. Simmark staff kept me fully informed of work intentions and progress. Simmark employees and the sub-contracted plumber who carried out the HWS relocation were punctual and unfailingly helpful and polite. The property was left clean and tidy on completion of all work. Simmark finalised their work on 22 December 2022. As at 11 January 2023 I am awaiting installation of a smart meter by the energy retailer; Simmark is following this up on my behalf. Overall I am very satisfied with the service provided by Simmark and am happy to recommend them to any potential customer.",4.0,4.0,5.0,5.0,8kW,"$12,500 to $15,000",Winaico,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
82808,Alan,NSW - 2540,NSW,2540,True,2020-10-22,22 October 2020,4.5,,Sales and quote supplied in 2daysInstalled in 1 day 4 man crew 2 storey houseNotified of installation date and reminder sent 24hrs prior to installing crew arrived on time polite courteous crew all rubbish removed from siteInverter could not be installed on same day due meter board required upgradeSimmark weren’t the cheapest but reviews from locals rated themI am a retired builder we take risk when using a supplier this company did what they promised 1st class installation with a quality product,4.0,5.0,4.0,5.0,6.6kW,"$6,000 to $8,000",Winaico,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
81613,Paul,NSW - 2530,NSW,2530,True,2020-09-17,17 September 2020,5.0,,"After needing a Solar inverter replaced due to failure, Simmark stepped up and guided me painlessly through the process.Right from the get go Simmark's responsiveness and service was excellent. Quoting, explaining, scheduling and completing the job was great. Simmark even sent a worker out to assist me to log into the manufacturers Solar.Web assisting with daily monitoring and warranty registration.Would highly recommend these guys with anything solar, air-conditioning, security or electrical.Thanks Simmark :)",5.0,5.0,5.0,5.0,3kW,"$2,000 to $4,000",,Fronius,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
80589,Peter,NSW - 2576,NSW,2576,True,2020-08-20,20 August 2020,5.0,,"Simmark were professional from the time I contacted them to the end of installation and commissioning. Of the six companies I contacted, Simmark were one of only two who actually visited the site. They were happy to discuss system options and quote on variations and deal with tricky access and a steep roof. They are an established business with a young and enthusiastic work force of over 30 people in the Southern Highlands. Of the 12 or so tradesmen who worked on the job, they were without exception polite, friendly and skilled in their trade. On one day we had seven tradesmen here. We also installed heat pump hot water and two heating/cooling inverters and Simmark's integration of these systems with solar was seamless. It was a good contract for them and they didn't miss in providing great service and attention to detail. If something was not quite right, from scheduling to supply, they would fix it to our satisfaction. I am very happy to write in support of SImmark as a solar (and other trades) provider.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Winaico,Enphase,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
41662,Wayne,NSW - 2541,NSW,2541,True,2017-12-11,11 December 2017,5.0,,Within the South Coast Region found having a local supplier the best option.,5.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
25246,Henny,NSW - 2541,NSW,2541,True,2015-02-15,15 February 2015,4.75,,,4.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
14639,Saskia,NSW - 2540,NSW,2540,True,2012-07-11,11 July 2012,4.25,,We have a steep pitched roof that was no problem for these installers. The others took one look and only saw problems.  Simmark where also local.,3.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
14630,Saskia,NSW - 2540,NSW,2540,True,2012-07-10,10 July 2012,4.25,,We have a steep pitched roof that was no problem for these installers. The others took one look and only saw problems.  Simmark were also local.,3.0,4.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
