review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
15227,Mike,WA - 6154,WA,6154,True,2012-08-12,12 August 2012,5.0,,"The team at Energypak were outstanding.... so nice to deal with a no-nonsense, straight-shooting provider with attention to detail and integrity.I found them middle range for price ...... which I'm OK with because I have confidence in the high quality components and installation and know I will not have a problem for the life of the system.Customer service was excellent and all my paperwork for STC's was done for me. Top Job - highly recommended.",5.0,5.0,5.0,5.0,5kW,"$15,000 to $20,000",,,,False,[],0,0
15194,Stephen,WA - 6014,WA,6014,True,2012-08-10,10 August 2012,4.75,,"Prior to contacting any company I had done a lot of research on solar systems and inverters and I had firm ideas about what I wanted.  In discussions with Paul Morris of Energypak I valued his enthusiasm and advice about the best components for the system I needed.With Paul's assistance I decided upon Suntech Pluto 250w panels and APS micro inverters for each panel plus Power Tracker software to allow monitoring of each panel at any time of the day.The installation, by Paul himself, and his team was smooth. professional and enjoyable despite adverse weather and a complex system to install.At all times the team was friendly and helpful with lots of advice and assistance in getting everything operational.I am delighted with all aspects of my system and with Energypak as my adviser and installer.  I recommend Paul and his team without reservation as an honest, professional and knowledgeable company.",4.0,5.0,5.0,5.0,3kW,"$10,000 to $15,000",,,,False,[],0,0
14441,Robert,WA - 6168,WA,6168,True,2012-07-02,02 July 2012,4.0,,My lucky day when I got in touch with Paul Morris of Energy Pak.,4.0,4.0,4.0,4.0,1.5kW,"$3,000 to $6,000",,,,False,[],0,0
9705,Allen,WA - 6062,WA,6062,True,2011-08-05,05 August 2011,4.0,,Decision was made on overall presentation and technical data/stats provided.,4.0,4.0,0,4.0,4kW,"$15,000 to $20,000",,,,False,[],0,0
5212,Graham,WA - 6210,WA,6210,True,2011-02-14,14 February 2011,5.0,,"I was extremely pleased in all aspect with the installation of my Solar Power System. Very professional and extremely helpful, particularly the installer.",5.0,5.0,5.0,5.0,4kW,"More than $20,000",,,,False,[],0,0
5161,Rosalind,WA - 6210,WA,6210,True,2011-02-10,10 February 2011,4.75,,Great company,4.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,False,[],0,0
4259,Geoff,WA - 6168,WA,6168,True,2010-12-10,10 December 2010,4.5,,I am more than pleased with my decision to have a 2.53 kw system installed by Energy Pak. I chose this company primarily because I wanted a German made system and I liked their no nonsense approach.Five stars.,4.0,5.0,5.0,4.0,3kW,"$6,000 to $10,000",,,,False,[],0,0
2830,Craig,WA - 6172,WA,6172,True,2010-09-24,24 September 2010,4.0,,"The sysem has not yet been installed as yet but to date the people at Energypak have been really great  to deal with a superior product range with double the warranty period of anythig else offered and friendly and knowledgeable sales staff, buy no means the cheapest quote I have had but the company has gone out of its way to accomodate my system requirements after many months of research by my self, this company knows its stuff and are flexible with products for any budget.",4.0,4.0,0,0,3kW,"$10,000 to $15,000",,,,False,[],0,0
2093,Richard,WA - 6173,WA,6173,True,2010-08-09,09 August 2010,4.5,,EnergyPak who operate out of Jarahdale were able to install in just over a week as another supplier quoted about four months as it takes that amount of time to get all the paperwork done!!  I am not sure why he has issues and EnergyPak does not.,4.0,5.0,4.0,5.0,5kW,"More than $20,000",,,,False,[],0,0
381,David,WA - 6171,WA,6171,True,2010-06-01,01 June 2010,5.0,,We found the biggest problem is the different stories  the reps are saying to get a sale. Make sure you find out where the panels  are made and what they use to install them and there's a huge difference in prices from company to company you need to do due diligence and don't rush into anything get half dozen quotes.,5.0,5.0,0,5.0,3kW,"$10,000 to $15,000",,,,False,[],0,0
