项目类型,屋顶理论最大面板数量,方案,实际面板数量,光伏容量kW,逆变器功率kW,电池可用容量kWh,电池标称容量kWh,面板报价AUD,逆变器报价AUD,电池报价AUD,税前整体报价AUD,GST税费AUD,含税报价AUD,STC_PV补贴AUD,STC电池补贴AUD,VIC州补贴AUD,VIC州无息贷款AUD,NSW_VPP补贴AUD,补贴总计AUD,最终报价AUD,展示下限AUD,展示上限AUD,系统单价AUD每W,扣除电池后单价AUD每W
"新建系统","39","C","35","15.40","10.3","13.55","15.06","8316.00","2884.00","13027.54","24227.54","2422.75","26650.29","4980.18","4914.00","0.00","0.00","0.00","9894.18","16756.12","15918.31","17593.92","1.0881","0.5612"
"新建系统","40","A","36","15.84","9.3","25.24","28.04","8553.60","2604.00","24254.60","35412.20","3541.22","38953.42","5122.47","9126.00","0.00","0.00","0.00","14248.47","24704.95","23469.71","25940.20","1.5597","0.6046"
"新建系统","40","B","36","15.84","10","20.00","22.22","8553.60","2800.00","19220.30","30573.90","3057.39","33631.29","5122.47","7254.00","0.00","0.00","0.00","12376.47","21254.82","20192.08","22317.57","1.3418","0.5864"
"新建系统","40","C","36","15.84","10.6","13.94","15.49","8553.60","2968.00","13399.75","24921.35","2492.14","27413.49","5122.47","5031.00","0.00","0.00","0.00","10153.47","17260.02","16397.02","18123.02","1.0896","0.5613"
"新建系统","41","A","36","15.84","9.3","25.24","28.04","8553.60","2604.00","24254.60","35412.20","3541.22","38953.42","5122.47","9126.00","0.00","0.00","0.00","14248.47","24704.95","23469.71","25940.20","1.5597","0.6046"
"新建系统","41","B","36","15.84","10","20.00","22.22","8553.60","2800.00","19220.30","30573.90","3057.39","33631.29","5122.47","7254.00","0.00","0.00","0.00","12376.47","21254.82","20192.08","22317.57","1.3418","0.5864"
"新建系统","41","C","36","15.84","10.6","13.94","15.49","8553.60","2968.00","13399.75","24921.35","2492.14","27413.49","5122.47","5031.00","0.00","0.00","0.00","10153.47","17260.02","16397.02","18123.02","1.0896","0.5613"
"新建系统","42","A","37","16.28","9.3","25.24","28.04","8791.20","2604.00","24254.60","35649.80","3564.98","39214.78","5264.76","9126.00","0.00","0.00","0.00","14390.76","24824.02","23582.82","26065.22","1.5248","0.5955"
"新建系统","42","B","37","16.28","10","20.00","22.22","8791.20","2800.00","19220.30","30811.50","3081.15","33892.65","5264.76","7254.00","0.00","0.00","0.00","12518.76","21373.89","20305.20","22442.59","1.3129","0.5779"
"新建系统","42","C","37","16.28","10.9","14.33","15.92","8791.20","3052.00","13771.97","25615.17","2561.52","28176.69","5264.76","5187.00","0.00","0.00","0.00","10451.76","17724.93","16838.68","18611.18","1.0888","0.5614"
"新建系统","43","A","38","16.72","9.3","25.24","28.04","9028.80","2604.00","24254.60","35887.40","3588.74","39476.14","5407.05","9126.00","0.00","0.00","0.00","14533.05","24943.09","23695.94","26190.25","1.4918","0.5870"
"新建系统","43","B","38","16.72","10","20.00","22.22","9028.80","2800.00","19220.30","31049.10","3104.91","34154.01","5407.05","7254.00","0.00","0.00","0.00","12661.05","21492.96","20418.31","22567.61","1.2855","0.5698"
"新建系统","43","C","38","16.72","11.2","14.72","16.35","9028.80","3136.00","14144.19","26308.99","2630.90","28939.88","5407.05","5304.00","0.00","0.00","0.00","10711.05","18228.84","17317.39","19140.28","1.0902","0.5615"
"新建系统","44","A","39","17.16","9.3","25.24","28.04","9266.40","2604.00","24254.60","36125.00","3612.50","39737.50","5549.34","9126.00","0.00","0.00","0.00","14675.34","25062.16","23809.05","26315.27","1.4605","0.5789"
"新建系统","44","B","39","17.16","10","20.00","22.22","9266.40","2800.00","19220.30","31286.70","3128.67","34415.37","5549.34","7254.00","0.00","0.00","0.00","12803.34","21612.03","20531.43","22692.63","1.2594","0.5621"
"新建系统","44","C","39","17.16","11.5","15.10","16.78","9266.40","3220.00","14516.40","27002.80","2700.28","29703.08","5549.34","5460.00","0.00","0.00","0.00","11009.34","18693.74","17759.06","19628.43","1.0894","0.5616"
"新建系统","45","A","40","17.60","9.3","25.24","28.04","9504.00","2604.00","24254.60","36362.60","3636.26","39998.86","5691.63","9126.00","0.00","0.00","0.00","14817.63","25181.23","23922.17","26440.29","1.4308","0.5712"
"新建系统","45","B","40","17.60","10","20.00","22.22","9504.00","2800.00","19220.30","31524.30","3152.43","34676.73","5691.63","7254.00","0.00","0.00","0.00","12945.63","21731.10","20644.55","22817.66","1.2347","0.5548"
"新建系统","45","C","40","17.60","11.8","15.49","17.21","9504.00","3304.00","14888.62","27696.62","2769.66","30466.28","5691.63","5616.00","0.00","0.00","0.00","11307.63","19158.65","18200.72","20116.58","1.0886","0.5617"
"新建系统","46","A","41","18.04","9.3","25.24","28.04","9741.60","2604.00","24254.60","36600.20","3660.02","40260.22","5833.92","9126.00","0.00","0.00","0.00","14959.92","25300.30","24035.29","26565.32","1.4025","0.5638"
"新建系统","46","B","41","18.04","10","20.00","22.22","9741.60","2800.00","19220.30","31761.90","3176.19","34938.09","5833.92","7254.00","0.00","0.00","0.00","13087.92","21850.17","20757.66","22942.68","1.2112","0.5479"
"新建系统","46","C","41","18.04","12.1","15.88","17.64","9741.60","3388.00","15260.83","28390.43","2839.04","31229.47","5833.92","5733.00","0.00","0.00","0.00","11566.92","19662.55","18679.43","20645.68","1.0899","0.5618"
"新建系统","47","A","42","18.48","9.3","25.24","28.04","9979.20","2604.00","24254.60","36837.80","3683.78","40521.58","5976.21","9126.00","0.00","0.00","0.00","15102.21","25419.37","24148.40","26690.34","1.3755","0.5569"
"新建系统","47","B","42","18.48","10","20.00","22.22","9979.20","2800.00","19220.30","31999.50","3199.95","35199.45","5976.21","7254.00","0.00","0.00","0.00","13230.21","21969.24","20870.78","23067.70","1.1888","0.5413"
"新建系统","47","C","42","18.48","12.4","16.27","18.07","9979.20","3472.00","15633.05","29084.25","2908.42","31992.67","5976.21","5889.00","0.00","0.00","0.00","11865.21","20127.46","19121.09","21133.83","1.0891","0.5619"
"新建系统","48","A","43","18.92","9.3","25.24","28.04","10216.80","2604.00","24254.60","37075.40","3707.54","40782.94","6118.50","9126.00","0.00","0.00","0.00","15244.50","25538.44","24261.52","26815.36","1.3498","0.5502"
"新建系统","48","B","43","18.92","10","20.00","22.22","10216.80","2800.00","19220.30","32237.10","3223.71","35460.81","6118.50","7254.00","0.00","0.00","0.00","13372.50","22088.31","20983.89","23192.72","1.1675","0.5350"
"新建系统","48","C","43","18.92","12.7","16.65","18.50","10216.80","3556.00","16005.26","29778.06","2977.81","32755.87","6118.50","6006.00","0.00","0.00","0.00","12124.50","20631.37","19599.80","21662.94","1.0905","0.5620"
"新建系统","49","A","44","19.36","9.3","25.24","28.04","10454.40","2604.00","24254.60","37313.00","3731.30","41044.30","6260.79","9126.00","0.00","0.00","0.00","15386.79","25657.51","24374.63","26940.38","1.3253","0.5438"
"新建系统","49","B","44","19.36","10","20.00","22.22","10454.40","2800.00","19220.30","32474.70","3247.47","35722.17","6260.79","7254.00","0.00","0.00","0.00","13514.79","22207.38","21097.01","23317.75","1.1471","0.5290"
"新建系统","49","C","44","19.36","13","17.04","18.93","10454.40","3640.00","16377.48","30471.88","3047.19","33519.07","6260.79","6162.00","0.00","0.00","0.00","12422.79","21096.27","20041.46","22151.09","1.0897","0.5620"
"新建系统","50","A","45","19.80","9.3","25.24","28.04","10692.00","2604.00","24254.60","37550.60","3755.06","41305.66","6403.08","9126.00","0.00","0.00","0.00","15529.08","25776.58","24487.75","27065.41","1.3018","0.5378"
"新建系统","50","B","45","19.80","10","20.00","22.22","10692.00","2800.00","19220.30","32712.30","3271.23","35983.53","6403.08","7254.00","0.00","0.00","0.00","13657.08","22326.45","21210.13","23442.77","1.1276","0.5232"
"新建系统","50","C","45","19.80","13.2","17.43","19.36","10692.00","3696.00","16749.69","31137.69","3113.77","34251.46","6403.08","6318.00","0.00","0.00","0.00","12721.08","21530.38","20453.86","22606.90","1.0874","0.5605"
"新建系统","51","A","45","19.80","9.3","25.24","28.04","10692.00","2604.00","24254.60","37550.60","3755.06","41305.66","6403.08","9126.00","0.00","0.00","0.00","15529.08","25776.58","24487.75","27065.41","1.3018","0.5378"
"新建系统","51","B","45","19.80","10","20.00","22.22","10692.00","2800.00","19220.30","32712.30","3271.23","35983.53","6403.08","7254.00","0.00","0.00","0.00","13657.08","22326.45","21210.13","23442.77","1.1276","0.5232"
"新建系统","51","C","45","19.80","13.2","17.43","19.36","10692.00","3696.00","16749.69","31137.69","3113.77","34251.46","6403.08","6318.00","0.00","0.00","0.00","12721.08","21530.38","20453.86","22606.90","1.0874","0.5605"
"新建系统","52","A","46","20.24","19.5","45.29","50.32","10929.60","5460.00","43526.80","59916.40","5991.64","65908.04","6545.37","16419.00","0.00","0.00","0.00","22964.37","42943.67","40796.48","45090.85","2.1217","0.7824"
"新建系统","52","B","46","20.24","15","37.74","41.93","10929.60","4200.00","36269.45","51399.05","5139.90","56538.95","6545.37","13650.00","0.00","0.00","0.00","20195.37","36343.58","34526.40","38160.76","1.7956","0.6781"
"新建系统","52","C","46","20.24","13.5","17.81","19.79","10929.60","3780.00","17121.91","31831.51","3183.15","35014.66","6545.37","6435.00","0.00","0.00","0.00","12980.37","22034.29","20932.57","23136.00","1.0887","0.5606"
"新建系统","53","A","47","20.68","19.5","45.29","50.32","11167.20","5460.00","43526.80","60154.00","6015.40","66169.40","6687.66","16419.00","0.00","0.00","0.00","23106.66","43062.74","40909.60","45215.87","2.0823","0.7715"
"新建系统","53","B","47","20.68","15","37.74","41.93","11167.20","4200.00","36269.45","51636.65","5163.66","56800.31","6687.66","13650.00","0.00","0.00","0.00","20337.66","36462.65","34639.52","38285.78","1.7632","0.6694"
"新建系统","53","C","47","20.68","13.8","18.20","20.22","11167.20","3864.00","17494.12","32525.32","3252.53","35777.86","6687.66","6591.00","0.00","0.00","0.00","13278.66","22499.19","21374.23","23624.15","1.0880","0.5607"
"新建系统","54","A","48","21.12","19.5","45.29","50.32","11404.80","5460.00","43526.80","60391.60","6039.16","66430.76","6829.95","16419.00","0.00","0.00","0.00","23248.95","43181.81","41022.72","45340.90","2.0446","0.7611"
"新建系统","54","B","48","21.12","15","37.74","41.93","11404.80","4200.00","36269.45","51874.25","5187.43","57061.68","6829.95","13650.00","0.00","0.00","0.00","20479.95","36581.72","34752.63","38410.81","1.7321","0.6611"
"新建系统","54","C","48","21.12","14.1","18.59","20.65","11404.80","3948.00","17866.34","33219.14","3321.91","36541.05","6829.95","6708.00","0.00","0.00","0.00","13537.95","23003.10","21852.94","24153.25","1.0892","0.5608"
"新建系统","55","A","49","21.56","19.5","45.29","50.32","11642.40","5460.00","43526.80","60629.20","6062.92","66692.12","6972.25","16419.00","0.00","0.00","0.00","23391.25","43300.87","41135.83","45465.92","2.0084","0.7511"
"新建系统","55","B","49","21.56","15","37.74","41.93","11642.40","4200.00","36269.45","52111.85","5211.19","57323.03","6972.25","13650.00","0.00","0.00","0.00","20622.25","36700.79","34865.75","38535.83","1.7023","0.6531"
"新建系统","55","C","49","21.56","14.4","18.98","21.09","11642.40","4032.00","18238.55","33912.95","3391.30","37304.25","6972.25","6864.00","0.00","0.00","0.00","13836.25","23468.00","22294.60","24641.40","1.0885","0.5609"
"新建系统","56","A","50","22.00","19.5","45.29","50.32","11880.00","5460.00","43526.80","60866.80","6086.68","66953.48","7114.54","16419.00","0.00","0.00","0.00","23533.54","43419.94","41248.95","45590.94","1.9736","0.7415"
"新建系统","56","B","50","22.00","15","37.74","41.93","11880.00","4200.00","36269.45","52349.45","5234.94","57584.39","7114.54","13650.00","0.00","0.00","0.00","20764.54","36819.86","34978.87","38660.85","1.6736","0.6455"
"新建系统","56","C","50","22.00","14.7","19.36","21.52","11880.00","4116.00","18610.77","34606.77","3460.68","38067.45","7114.54","7020.00","0.00","0.00","0.00","14134.54","23932.91","22736.27","25129.56","1.0879","0.5610"
"新建系统","57","A","51","22.44","19.5","45.29","50.32","12117.60","5460.00","43526.80","61104.40","6110.44","67214.84","7256.83","16419.00","0.00","0.00","0.00","23675.83","43539.01","41362.06","45715.96","1.9402","0.7322"
"新建系统","57","B","51","22.44","15","37.74","41.93","12117.60","4200.00","36269.45","52587.05","5258.70","57845.75","7256.83","13650.00","0.00","0.00","0.00","20906.83","36938.93","35091.98","38785.87","1.6461","0.6381"
"新建系统","57","C","51","22.44","15","19.75","21.95","12117.60","4200.00","18982.99","35300.59","3530.06","38830.64","7256.83","7137.00","0.00","0.00","0.00","14393.83","24436.82","23214.98","25658.66","1.0890","0.5611"
"新建系统","58","A","52","22.88","19.5","45.29","50.32","12355.20","5460.00","43526.80","61342.00","6134.20","67476.20","7399.12","16419.00","0.00","0.00","0.00","23818.12","43658.08","41475.18","45840.99","1.9081","0.7234"
"新建系统","58","B","52","22.88","15","37.74","41.93","12355.20","4200.00","36269.45","52824.65","5282.47","58107.11","7399.12","13650.00","0.00","0.00","0.00","21049.12","37058.00","35205.10","38910.90","1.6197","0.6311"
"新建系统","58","C","52","22.88","15.3","20.14","22.38","12355.20","4284.00","19355.20","35994.40","3599.44","39593.84","7399.12","7293.00","0.00","0.00","0.00","14692.12","24901.72","23656.64","26146.81","1.0884","0.5612"
"新建系统","59","A","53","23.32","19.5","45.29","50.32","12592.80","5460.00","43526.80","61579.60","6157.96","67737.56","7541.41","16419.00","0.00","0.00","0.00","23960.41","43777.15","41588.29","45966.01","1.8772","0.7148"
"新建系统","59","B","53","23.32","15","37.74","41.93","12592.80","4200.00","36269.45","53062.25","5306.23","58368.47","7541.41","13650.00","0.00","0.00","0.00","21191.41","37177.07","35318.21","39035.92","1.5942","0.6243"
"新建系统","59","C","53","23.32","15.6","20.53","22.81","12592.80","4368.00","19727.42","36688.22","3668.82","40357.04","7541.41","7410.00","0.00","0.00","0.00","14951.41","25405.63","24135.35","26675.91","1.0894","0.5612"
"新建系统","60","A","54","23.76","19.5","45.29","50.32","12830.40","5460.00","43526.80","61817.20","6181.72","67998.92","7683.70","16419.00","0.00","0.00","0.00","24102.70","43896.22","41701.41","46091.03","1.8475","0.7066"
"新建系统","60","B","54","23.76","15","37.74","41.93","12830.40","4200.00","36269.45","53299.85","5329.99","58629.83","7683.70","13650.00","0.00","0.00","0.00","21333.70","37296.14","35431.33","39160.94","1.5697","0.6177"
"新建系统","60","C","54","23.76","15.9","20.91","23.24","12830.40","4452.00","20099.63","37382.03","3738.20","41120.23","7683.70","7566.00","0.00","0.00","0.00","15249.70","25870.54","24577.01","27164.06","1.0888","0.5613"
"新建系统","61","A","54","23.76","19.5","45.29","50.32","12830.40","5460.00","43526.80","61817.20","6181.72","67998.92","7683.70","16419.00","0.00","0.00","0.00","24102.70","43896.22","41701.41","46091.03","1.8475","0.7066"
"新建系统","61","B","54","23.76","15","37.74","41.93","12830.40","4200.00","36269.45","53299.85","5329.99","58629.83","7683.70","13650.00","0.00","0.00","0.00","21333.70","37296.14","35431.33","39160.94","1.5697","0.6177"
"新建系统","61","C","54","23.76","15.9","20.91","23.24","12830.40","4452.00","20099.63","37382.03","3738.20","41120.23","7683.70","7566.00","0.00","0.00","0.00","15249.70","25870.54","24577.01","27164.06","1.0888","0.5613"
"新建系统","62","A","55","24.20","19.5","45.29","50.32","13068.00","5460.00","43526.80","62054.80","6205.48","68260.28","7825.99","16419.00","0.00","0.00","0.00","24244.99","44015.29","41814.53","46216.05","1.8188","0.6987"
"新建系统","62","B","55","24.20","15","37.74","41.93","13068.00","4200.00","36269.45","53537.45","5353.74","58891.19","7825.99","13650.00","0.00","0.00","0.00","21475.99","37415.21","35544.45","39285.97","1.5461","0.6114"
"新建系统","62","C","55","24.20","16.2","21.30","23.67","13068.00","4536.00","20471.85","38075.85","3807.58","41883.43","7825.99","7722.00","0.00","0.00","0.00","15547.99","26335.44","25018.67","27652.21","1.0882","0.5614"
"新建系统","63","A","56","24.64","19.5","45.29","50.32","13305.60","5460.00","43526.80","62292.40","6229.24","68521.64","7968.28","16419.00","0.00","0.00","0.00","24387.28","44134.36","41927.64","46341.08","1.7912","0.6910"
"新建系统","63","B","56","24.64","15","37.74","41.93","13305.60","4200.00","36269.45","53775.05","5377.51","59152.55","7968.28","13650.00","0.00","0.00","0.00","21618.28","37534.27","35657.56","39410.99","1.5233","0.6053"
"新建系统","63","C","56","24.64","16.5","21.69","24.10","13305.60","4620.00","20844.06","38769.66","3876.97","42646.63","7968.28","7839.00","0.00","0.00","0.00","15807.28","26839.35","25497.38","28181.32","1.0893","0.5615"
"新建系统","64","A","57","25.08","19.5","45.29","50.32","13543.20","5460.00","43526.80","62530.00","6253.00","68783.00","8110.57","16419.00","0.00","0.00","0.00","24529.57","44253.43","42040.76","46466.10","1.7645","0.6836"
"新建系统","64","B","57","25.08","15","37.74","41.93","13543.20","4200.00","36269.45","54012.65","5401.26","59413.91","8110.57","13650.00","0.00","0.00","0.00","21760.57","37653.34","35770.68","39536.01","1.5013","0.5994"
"新建系统","64","C","57","25.08","16.8","22.07","24.53","13543.20","4704.00","21216.28","39463.48","3946.35","43409.83","8110.57","7995.00","0.00","0.00","0.00","16105.57","27304.25","25939.04","28669.47","1.0887","0.5615"
"新建系统","65","A","58","25.52","19.5","45.29","50.32","13780.80","5460.00","43526.80","62767.60","6276.76","69044.36","8252.86","16419.00","0.00","0.00","0.00","24671.86","44372.50","42153.87","46591.12","1.7387","0.6765"
"新建系统","65","B","58","25.52","15","37.74","41.93","13780.80","4200.00","36269.45","54250.25","5425.03","59675.28","8252.86","13650.00","0.00","0.00","0.00","21902.86","37772.41","35883.79","39661.03","1.4801","0.5938"
"新建系统","65","C","58","25.52","17.1","22.46","24.96","13780.80","4788.00","21588.49","40157.29","4015.73","44173.02","8252.86","8112.00","0.00","0.00","0.00","16364.86","27808.16","26417.75","29198.57","1.0897","0.5616"
"新建系统","66","A","59","25.96","19.5","45.29","50.32","14018.40","5460.00","43526.80","63005.20","6300.52","69305.72","8395.15","16419.00","0.00","0.00","0.00","24814.15","44491.57","42266.99","46716.15","1.7139","0.6696"
"新建系统","66","B","59","25.96","15","37.74","41.93","14018.40","4200.00","36269.45","54487.85","5448.78","59936.63","8395.15","13650.00","0.00","0.00","0.00","22045.15","37891.48","35996.91","39786.06","1.4596","0.5883"
"新建系统","66","C","59","25.96","17.4","22.85","25.39","14018.40","4872.00","21960.71","40851.11","4085.11","44936.22","8395.15","8268.00","0.00","0.00","0.00","16663.15","28273.07","26859.41","29686.72","1.0891","0.5616"
"新建系统","67","A","60","26.40","19.5","45.29","50.32","14256.00","5460.00","43526.80","63242.80","6324.28","69567.08","8537.44","16419.00","0.00","0.00","0.00","24956.44","44610.64","42380.10","46841.17","1.6898","0.6630"
"新建系统","67","B","60","26.40","15","37.74","41.93","14256.00","4200.00","36269.45","54725.45","5472.55","60197.99","8537.44","13650.00","0.00","0.00","0.00","22187.44","38010.55","36110.02","39911.08","1.4398","0.5830"
"新建系统","67","C","60","26.40","17.6","23.24","25.82","14256.00","4928.00","22332.92","41516.92","4151.69","45668.62","8537.44","8424.00","0.00","0.00","0.00","16961.44","28707.17","27271.81","30142.53","1.0874","0.5605"
"新建系统","68","A","61","26.84","19.5","45.29","50.32","14493.60","5460.00","43526.80","63480.40","6348.04","69828.44","8679.73","16419.00","0.00","0.00","0.00","25098.73","44729.71","42493.22","46966.19","1.6665","0.6566"
"新建系统","68","B","61","26.84","15","37.74","41.93","14493.60","4200.00","36269.45","54963.05","5496.31","60459.35","8679.73","13650.00","0.00","0.00","0.00","22329.73","38129.62","36223.14","40036.10","1.4206","0.5779"
"新建系统","68","C","61","26.84","17.9","23.62","26.25","14493.60","5012.00","22705.14","42210.74","4221.07","46431.81","8679.73","8541.00","0.00","0.00","0.00","17220.73","29211.08","27750.53","30671.63","1.0883","0.5606"
"新建系统","69","A","62","27.28","19.5","45.29","50.32","14731.20","5460.00","43526.80","63718.00","6371.80","70089.80","8822.02","16419.00","0.00","0.00","0.00","25241.02","44848.78","42606.34","47091.21","1.6440","0.6503"
"新建系统","69","B","62","27.28","15","37.74","41.93","14731.20","4200.00","36269.45","55200.65","5520.06","60720.71","8822.02","13650.00","0.00","0.00","0.00","22472.02","38248.69","36336.26","40161.12","1.4021","0.5729"
"新建系统","69","C","62","27.28","18.2","24.01","26.68","14731.20","5096.00","23077.35","42904.55","4290.46","47195.01","8822.02","8697.00","0.00","0.00","0.00","17519.02","29675.99","28192.19","31159.78","1.0878","0.5607"
"新建系统","70","A","63","27.72","19.5","45.29","50.32","14968.80","5460.00","43526.80","63955.60","6395.56","70351.16","8964.32","16419.00","0.00","0.00","0.00","25383.32","44967.84","42719.45","47216.24","1.6222","0.6443"
"新建系统","70","B","63","27.72","15","37.74","41.93","14968.80","4200.00","36269.45","55438.25","5543.83","60982.07","8964.32","13650.00","0.00","0.00","0.00","22614.32","38367.76","36449.37","40286.15","1.3841","0.5681"
"新建系统","70","C","63","27.72","18.5","24.40","27.11","14968.80","5180.00","23449.57","43598.37","4359.84","47958.21","8964.32","8814.00","0.00","0.00","0.00","17778.32","30179.89","28670.90","31688.89","1.0887","0.5608"
"新建系统","71","A","63","27.72","19.5","45.29","50.32","14968.80","5460.00","43526.80","63955.60","6395.56","70351.16","8964.32","16419.00","0.00","0.00","0.00","25383.32","44967.84","42719.45","47216.24","1.6222","0.6443"
"新建系统","71","B","63","27.72","15","37.74","41.93","14968.80","4200.00","36269.45","55438.25","5543.83","60982.07","8964.32","13650.00","0.00","0.00","0.00","22614.32","38367.76","36449.37","40286.15","1.3841","0.5681"
"新建系统","71","C","63","27.72","18.5","24.40","27.11","14968.80","5180.00","23449.57","43598.37","4359.84","47958.21","8964.32","8814.00","0.00","0.00","0.00","17778.32","30179.89","28670.90","31688.89","1.0887","0.5608"
"新建系统","72","A","64","28.16","19.5","45.29","50.32","15206.40","5460.00","43526.80","64193.20","6419.32","70612.52","9106.61","16419.00","0.00","0.00","0.00","25525.61","45086.91","42832.57","47341.26","1.6011","0.6385"
"新建系统","72","B","64","28.16","15","37.74","41.93","15206.40","4200.00","36269.45","55675.85","5567.59","61243.43","9106.61","13650.00","0.00","0.00","0.00","22756.61","38486.83","36562.49","40411.17","1.3667","0.5635"
"新建系统","72","C","64","28.16","18.8","24.79","27.54","15206.40","5264.00","23821.79","44292.19","4429.22","48721.40","9106.61","8970.00","0.00","0.00","0.00","18076.61","30644.80","29112.56","32177.04","1.0882","0.5608"
"新建系统","73","A","65","28.60","19.5","45.29","50.32","15444.00","5460.00","43526.80","64430.80","6443.08","70873.88","9248.90","16419.00","0.00","0.00","0.00","25667.90","45205.98","42945.68","47466.28","1.5806","0.6328"
"新建系统","73","B","65","28.60","15","37.74","41.93","15444.00","4200.00","36269.45","55913.45","5591.35","61504.79","9248.90","13650.00","0.00","0.00","0.00","22898.90","38605.90","36675.60","40536.19","1.3499","0.5590"
"新建系统","73","C","65","28.60","19.1","25.17","27.97","15444.00","5348.00","24194.00","44986.00","4498.60","49484.60","9248.90","9126.00","0.00","0.00","0.00","18374.90","31109.70","29554.22","32665.19","1.0878","0.5609"
"新建系统","74","A","66","29.04","19.5","45.29","50.32","15681.60","5460.00","43526.80","64668.40","6466.84","71135.24","9391.19","16419.00","0.00","0.00","0.00","25810.19","45325.05","43058.80","47591.31","1.5608","0.6273"
"新建系统","74","B","66","29.04","15","37.74","41.93","15681.60","4200.00","36269.45","56151.05","5615.10","61766.15","9391.19","13650.00","0.00","0.00","0.00","23041.19","38724.97","36788.72","40661.22","1.3335","0.5546"
"新建系统","74","C","66","29.04","19.4","25.56","28.40","15681.60","5432.00","24566.22","45679.82","4567.98","50247.80","9391.19","9243.00","0.00","0.00","0.00","18634.19","31613.61","30032.93","33194.29","1.0886","0.5610"
"新建系统","75","A","67","29.48","19.5","45.29","50.32","15919.20","5460.00","43526.80","64906.00","6490.60","71396.60","9533.48","16419.00","0.00","0.00","0.00","25952.48","45444.12","43171.92","47716.33","1.5415","0.6220"
"新建系统","75","B","67","29.48","15","37.74","41.93","15919.20","4200.00","36269.45","56388.65","5638.86","62027.51","9533.48","13650.00","0.00","0.00","0.00","23183.48","38844.04","36901.83","40786.24","1.3176","0.5504"
"新建系统","75","C","67","29.48","19.7","25.95","28.83","15919.20","5516.00","24938.43","46373.63","4637.36","51010.99","9533.48","9399.00","0.00","0.00","0.00","18932.48","32078.52","30474.59","33682.44","1.0881","0.5610"
"新建系统","76","A","68","29.92","19.5","45.29","50.32","16156.80","5460.00","43526.80","65143.60","6514.36","71657.96","9675.77","16419.00","0.00","0.00","0.00","26094.77","45563.19","43285.03","47841.35","1.5228","0.6168"
"新建系统","76","B","68","29.92","15","37.74","41.93","16156.80","4200.00","36269.45","56626.25","5662.63","62288.88","9675.77","13650.00","0.00","0.00","0.00","23325.77","38963.11","37014.95","40911.26","1.3022","0.5462"
"新建系统","76","C","68","29.92","20","26.33","29.26","16156.80","5600.00","25310.65","47067.45","4706.74","51774.19","9675.77","9516.00","0.00","0.00","0.00","19191.77","32582.42","30953.30","34211.54","1.0890","0.5611"
"新建系统","77","A","69","30.36","19.5","45.29","50.32","16394.40","5460.00","43526.80","65381.20","6538.12","71919.32","9818.06","16419.00","0.00","0.00","0.00","26237.06","45682.26","43398.15","47966.37","1.5047","0.6118"
"新建系统","77","B","69","30.36","15","37.74","41.93","16394.40","4200.00","36269.45","56863.85","5686.39","62550.24","9818.06","13650.00","0.00","0.00","0.00","23468.06","39082.18","37128.07","41036.28","1.2873","0.5423"
"新建系统","77","C","69","30.36","20.3","26.72","29.69","16394.40","5684.00","25682.86","47761.26","4776.13","52537.39","9818.06","9672.00","0.00","0.00","0.00","19490.06","33047.33","31394.96","34699.70","1.0885","0.5611"
"新建系统","78","A","70","30.80","19.5","45.29","50.32","16632.00","5460.00","43526.80","65618.80","6561.88","72180.68","9960.35","16419.00","0.00","0.00","0.00","26379.35","45801.33","43511.26","48091.40","1.4871","0.6069"
"新建系统","78","B","70","30.80","15","37.74","41.93","16632.00","4200.00","36269.45","57101.45","5710.15","62811.60","9960.35","13650.00","0.00","0.00","0.00","23610.35","39201.24","37241.18","41161.31","1.2728","0.5384"
"新建系统","78","C","70","30.80","20.6","27.11","30.12","16632.00","5768.00","26055.08","48455.08","4845.51","53300.59","9960.35","9828.00","0.00","0.00","0.00","19788.35","33512.24","31836.62","35187.85","1.0881","0.5612"
"新建系统","79","A","71","31.24","19.5","45.29","50.32","16869.60","5460.00","43526.80","65856.40","6585.64","72442.04","10102.64","16419.00","0.00","0.00","0.00","26521.64","45920.40","43624.38","48216.42","1.4699","0.6022"
"新建系统","79","B","71","31.24","15","37.74","41.93","16869.60","4200.00","36269.45","57339.05","5733.90","63072.95","10102.64","13650.00","0.00","0.00","0.00","23752.64","39320.31","37354.30","41286.33","1.2587","0.5346"
"新建系统","79","C","71","31.24","20.9","27.50","30.55","16869.60","5852.00","26427.29","49148.89","4914.89","54063.78","10102.64","9945.00","0.00","0.00","0.00","20047.64","34016.14","32315.33","35716.95","1.0889","0.5613"
"新建系统","80","A","72","31.68","19.5","45.29","50.32","17107.20","5460.00","43526.80","66094.00","6609.40","72703.40","10244.93","16419.00","0.00","0.00","0.00","26663.93","46039.47","43737.49","48341.44","1.4533","0.5976"
"新建系统","80","B","72","31.68","15","37.74","41.93","17107.20","4200.00","36269.45","57576.65","5757.66","63334.31","10244.93","13650.00","0.00","0.00","0.00","23894.93","39439.38","37467.41","41411.35","1.2449","0.5309"
"新建系统","80","C","72","31.68","21.2","27.88","30.98","17107.20","5936.00","26799.51","49842.71","4984.27","54826.98","10244.93","10101.00","0.00","0.00","0.00","20345.93","34481.05","32757.00","36205.10","1.0884","0.5613"
