项目类型,屋顶理论最大面板数量,方案,实际面板数量,光伏容量kW,逆变器功率kW,电池可用容量kWh,电池标称容量kWh,面板报价AUD,逆变器报价AUD,电池报价AUD,税前整体报价AUD,GST税费AUD,含税报价AUD,STC_PV补贴AUD,STC电池补贴AUD,VIC州补贴AUD,VIC州无息贷款AUD,NSW_VPP补贴AUD,补贴总计AUD,最终报价AUD,展示下限AUD,展示上限AUD,系统单价AUD每W,扣除电池后单价AUD每W
"储能扩容","1","A","0","0.00","19.5","45.29","50.32","0.00","0.00","43526.80","43526.80","4352.68","47879.48","0.00","16419.00","0.00","0.00","0.00","16419.00","31460.48","29887.46","33033.50","0.0000","0.0000"
"储能扩容","1","B","0","0.00","15","37.74","41.93","0.00","0.00","36269.45","36269.45","3626.94","39896.39","0.00","13650.00","0.00","0.00","0.00","13650.00","26246.39","24934.08","27558.71","0.0000","0.0000"
"储能扩容","1","C","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0000","0.0000"
"储能扩容","2","A","1","0.44","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","31.9515","4.4115"
"储能扩容","2","B","1","0.44","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","21.3580","2.9489"
"储能扩容","2","C","1","0.44","0.3","0.39","0.43","0.00","0.00","372.22","372.22","37.22","409.44","0.00","117.00","0.00","0.00","0.00","117.00","292.44","277.82","307.06","0.6646","0.0846"
"储能扩容","3","A","2","0.88","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","15.9758","2.2058"
"储能扩容","3","B","2","0.88","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","10.6790","1.4744"
"储能扩容","3","C","2","0.88","0.6","0.77","0.86","0.00","0.00","744.43","744.43","74.44","818.87","0.00","273.00","0.00","0.00","0.00","273.00","545.87","518.58","573.17","0.6203","0.0846"
"储能扩容","4","A","2","0.88","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","15.9758","2.2058"
"储能扩容","4","B","2","0.88","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","10.6790","1.4744"
"储能扩容","4","C","2","0.88","0.6","0.77","0.86","0.00","0.00","744.43","744.43","74.44","818.87","0.00","273.00","0.00","0.00","0.00","273.00","545.87","518.58","573.17","0.6203","0.0846"
"储能扩容","5","A","3","1.32","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","10.6505","1.4705"
"储能扩容","5","B","3","1.32","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","7.1193","0.9830"
"储能扩容","5","C","3","1.32","0.9","1.16","1.29","0.00","0.00","1116.65","1116.65","111.66","1228.31","0.00","390.00","0.00","0.00","0.00","390.00","838.31","796.40","880.23","0.6351","0.0846"
"储能扩容","6","A","4","1.76","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","7.9879","1.1029"
"储能扩容","6","B","4","1.76","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","5.3395","0.7372"
"储能扩容","6","C","4","1.76","1.2","1.55","1.72","0.00","0.00","1488.86","1488.86","148.89","1637.75","0.00","546.00","0.00","0.00","0.00","546.00","1091.75","1037.16","1146.34","0.6203","0.0846"
"储能扩容","7","A","4","1.76","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","7.9879","1.1029"
"储能扩容","7","B","4","1.76","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","5.3395","0.7372"
"储能扩容","7","C","4","1.76","1.2","1.55","1.72","0.00","0.00","1488.86","1488.86","148.89","1637.75","0.00","546.00","0.00","0.00","0.00","546.00","1091.75","1037.16","1146.34","0.6203","0.0846"
"储能扩容","8","A","5","2.20","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","6.3903","0.8823"
"储能扩容","8","B","5","2.20","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","4.2716","0.5898"
"储能扩容","8","C","5","2.20","1.5","1.94","2.15","0.00","0.00","1861.08","1861.08","186.11","2047.18","0.00","702.00","0.00","0.00","0.00","702.00","1345.18","1277.93","1412.44","0.6114","0.0846"
"储能扩容","9","A","6","2.64","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","5.3253","0.7353"
"储能扩容","9","B","6","2.64","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","3.5597","0.4915"
"储能扩容","9","C","6","2.64","1.8","2.32","2.58","0.00","0.00","2233.29","2233.29","223.33","2456.62","0.00","819.00","0.00","0.00","0.00","819.00","1637.62","1555.74","1719.50","0.6203","0.0846"
"储能扩容","10","A","7","3.08","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","4.5645","0.6302"
"储能扩容","10","B","7","3.08","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","3.0511","0.4213"
"储能扩容","10","C","7","3.08","2.1","2.71","3.01","0.00","0.00","2605.51","2605.51","260.55","2866.06","0.00","975.00","0.00","0.00","0.00","975.00","1891.06","1796.51","1985.61","0.6140","0.0846"
"储能扩容","11","A","7","3.08","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","4.5645","0.6302"
"储能扩容","11","B","7","3.08","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","3.0511","0.4213"
"储能扩容","11","C","7","3.08","2.1","2.71","3.01","0.00","0.00","2605.51","2605.51","260.55","2866.06","0.00","975.00","0.00","0.00","0.00","975.00","1891.06","1796.51","1985.61","0.6140","0.0846"
"储能扩容","12","A","8","3.52","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","3.9939","0.5514"
"储能扩容","12","B","8","3.52","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","2.6697","0.3686"
"储能扩容","12","C","8","3.52","2.4","3.10","3.44","0.00","0.00","2977.72","2977.72","297.77","3275.50","0.00","1092.00","0.00","0.00","0.00","1092.00","2183.50","2074.32","2292.67","0.6203","0.0846"
"储能扩容","13","A","9","3.96","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","3.5502","0.4902"
"储能扩容","13","B","9","3.96","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","2.3731","0.3277"
"储能扩容","13","C","9","3.96","2.7","3.49","3.87","0.00","0.00","3349.94","3349.94","334.99","3684.93","0.00","1248.00","0.00","0.00","0.00","1248.00","2436.93","2315.09","2558.78","0.6154","0.0846"
"储能扩容","14","A","9","3.96","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","3.5502","0.4902"
"储能扩容","14","B","9","3.96","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","2.3731","0.3277"
"储能扩容","14","C","9","3.96","2.7","3.49","3.87","0.00","0.00","3349.94","3349.94","334.99","3684.93","0.00","1248.00","0.00","0.00","0.00","1248.00","2436.93","2315.09","2558.78","0.6154","0.0846"
"储能扩容","15","A","10","4.40","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","3.1952","0.4412"
"储能扩容","15","B","10","4.40","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","2.1358","0.2949"
"储能扩容","15","C","10","4.40","3","3.87","4.30","0.00","0.00","3722.15","3722.15","372.22","4094.37","0.00","1404.00","0.00","0.00","0.00","1404.00","2690.37","2555.85","2824.89","0.6114","0.0846"
"储能扩容","16","A","11","4.84","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","2.9047","0.4010"
"储能扩容","16","B","11","4.84","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","1.9416","0.2681"
"储能扩容","16","C","11","4.84","3.3","4.26","4.73","0.00","0.00","4094.37","4094.37","409.44","4503.81","0.00","1521.00","0.00","0.00","0.00","1521.00","2982.81","2833.67","3131.95","0.6163","0.0846"
"储能扩容","17","A","11","4.84","8","20.20","22.44","0.00","0.00","19410.60","19410.60","1941.06","21351.66","0.00","7293.00","0.00","0.00","0.00","7293.00","14058.66","13355.73","14761.59","2.9047","0.4010"
"储能扩容","17","B","11","4.84","5","13.50","15.00","0.00","0.00","12975.00","12975.00","1297.50","14272.50","0.00","4875.00","0.00","0.00","0.00","4875.00","9397.50","8927.63","9867.38","1.9416","0.2681"
"储能扩容","17","C","11","4.84","3.3","4.26","4.73","0.00","0.00","4094.37","4094.37","409.44","4503.81","0.00","1521.00","0.00","0.00","0.00","1521.00","2982.81","2833.67","3131.95","0.6163","0.0846"
