设计ID,设计类型,设计名称,系统大小 (kW),安装面板数量,前期投资 (最小),前期投资,前期投资 (最大),补贴金额,年度账单节省 (最小),年度账单节省,年度账单节省 (最大),内部收益率 (IRR),回本期 (最小/月),回本期 (月),回本期 (最大/月),电池容量 (kWh),自用率 (最小),自用率,自用率 (最大)
905,0,maxValue,7.04,16,14174.3135,14920.33,15666.3465,7080,279.47,294.18,308.89,0.025145,95,100,105,22.22,0.95,1,1
906,2,customFit,7.04,16,7205.128795,7584.3461,7963.563405,2760,279.47,294.18,308.89,0.025145,95,100,105,5.02924,0.95,1,1
907,1,mostPopular,7.04,16,10343.2485,10887.63,11432.0115,5220,279.47,294.18,308.89,0.025145,95,100,105,14.82,0.95,1,1
