方案名称,系统大小 (kW),面板数量,电池容量 (kWh),前期投资 ($),补贴 ($),实际投资 ($),年度发电量 (kWh),年度节省 ($),回本期 (年),IRR (%),自用率 (%)
maxValue,7.04,16,22.22,14920.33,7080,7840.33,980.6,294.18,8.3,2.51,100
customFit,7.04,16,5.02924,7584.3461,2760,4824.3461,980.6,294.18,8.3,2.51,100
mostPopular,7.04,16,14.82,10887.63,5220,5667.629999999999,980.6,294.18,8.3,2.51,100
