house_id	calc_mode	state	phase	plan	plan_name	roof_max_kw	pv_model	pv_watt	pv_kw	panel_count	inverter_kw	ratio_percent	battery_nominal_kwh	battery_calculated_nominal_kwh	battery_method	pv_day_kwh	load_day_kwh	evening_kwh	night_kwh	surplus_kwh	tax_total_aud	subsidy_aud	final_price_aud
3767	new	NSW	single	C	经济型	1.76	JA Solar JAM72S30 550/MR	440	1.76	4	1	176	6.5	5.52	C: 晚高峰	7.04	21.31	4.72	12.69	0.44	7538	2652	4886
3767	expansion	NSW	single	A	高端型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	16	14.84	A: max(整夜, 0.7×剩余)	3.52	21.31	4.72	12.69	0.00	16055	5460	10595
3767	expansion	NSW	single	B	平衡型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	6.5	5.52	B: max(晚高峰, 0.55×剩余)	3.52	21.31	4.72	12.69	0.00	7015	2379	4636
3767	expansion	NSW	single	C	经济型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	6.5	5.52	C: 晚高峰	3.52	21.31	4.72	12.69	0.00	7015	2379	4636
3768	new	NSW	single	A	高端型	11.88	JA Solar JAM72S30 550/MR	440	11.88	27	7	170	40	30.47	A: max(整夜, 0.7×剩余)	47.52	21.31	4.72	12.69	37.22	47273	16848	30425
3768	new	NSW	single	B	平衡型	11.88	JA Solar JAM72S30 550/MR	440	10.12	23	6	169	20	19.50	B: max(晚高峰, 0.55×剩余)	40.48	21.31	4.72	12.69	30.32	26889	9750	17139
3768	new	NSW	single	C	经济型	11.88	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
3768	expansion	NSW	single	A	高端型	7.48	JA Solar JAM72S30 550/MR	440	7.48	17	5	150	20	16.46	A: max(整夜, 0.7×剩余)	29.92	21.31	4.72	12.69	20.10	25013	8931	16082
3768	expansion	NSW	single	B	平衡型	7.48	JA Solar JAM72S30 550/MR	440	7.48	17	5	150	13.5	12.93	B: max(晚高峰, 0.55×剩余)	29.92	21.31	4.72	12.69	20.10	18828	6786	12042
3768	expansion	NSW	single	C	经济型	7.48	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
3769	new	NSW	single	A	高端型	9.68	JA Solar JAM72S30 550/MR	440	9.68	22	6	161	25	23.41	A: max(整夜, 0.7×剩余)	38.72	21.31	4.72	12.69	28.60	31385	11271	20114
3769	new	NSW	single	B	平衡型	9.68	JA Solar JAM72S30 550/MR	440	9.68	22	6	161	20	18.39	B: max(晚高峰, 0.55×剩余)	38.72	21.31	4.72	12.69	28.60	26628	9633	16995
3769	new	NSW	single	C	经济型	9.68	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
3769	expansion	NSW	single	A	高端型	6.16	JA Solar JAM72S30 550/MR	440	6.16	14	4	154	16	14.84	A: max(整夜, 0.7×剩余)	24.64	21.31	4.72	12.69	15.03	20115	7176	12939
3769	expansion	NSW	single	B	平衡型	6.16	JA Solar JAM72S30 550/MR	440	6.16	14	4	154	10	9.67	B: max(晚高峰, 0.55×剩余)	24.64	21.31	4.72	12.69	15.03	14406	5226	9180
3769	expansion	NSW	single	C	经济型	6.16	JA Solar JAM72S30 550/MR	440	6.16	14	4	154	6.5	5.52	C: 晚高峰	24.64	21.31	4.72	12.69	15.03	11076	4095	6981
3770	new	NSW	single	A	高端型	7.04	JA Solar JAM72S30 550/MR	440	7.04	16	4	176	16	15.08	A: max(整夜, 0.7×剩余)	28.16	21.31	4.72	12.69	18.41	20638	7449	13189
3770	new	NSW	single	B	平衡型	7.04	JA Solar JAM72S30 550/MR	440	7.04	16	4	176	13.5	11.85	B: max(晚高峰, 0.55×剩余)	28.16	21.31	4.72	12.69	18.41	18259	6630	11629
3770	new	NSW	single	C	经济型	7.04	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
3770	expansion	NSW	single	A	高端型	3.52	JA Solar JAM72S30 550/MR	440	3.52	8	2	176	16	14.84	A: max(整夜, 0.7×剩余)	14.08	21.31	4.72	12.69	5.58	17931	6318	11613
3770	expansion	NSW	single	B	平衡型	3.52	JA Solar JAM72S30 550/MR	440	3.52	8	2	176	6.5	5.52	B: max(晚高峰, 0.55×剩余)	14.08	21.31	4.72	12.69	5.58	8892	3237	5655
3770	expansion	NSW	single	C	经济型	3.52	JA Solar JAM72S30 550/MR	440	3.52	8	2	176	6.5	5.52	C: 晚高峰	14.08	21.31	4.72	12.69	5.58	8892	3237	5655
3771	new	NSW	single	A	高端型	36.08	JA Solar JAM72S30 550/MR	440	20.00	45	10	200	50	50.00	A: max(整夜, 0.7×剩余)	80.00	21.31	4.72	12.69	69.51	62535	22737	39798
3771	new	NSW	single	B	平衡型	36.08	JA Solar JAM72S30 550/MR	440	13.20	30	8	165	30	27.27	B: max(晚高峰, 0.55×剩余)	52.80	21.31	4.72	12.69	42.39	38850	14040	24810
3771	new	NSW	single	C	经济型	36.08	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
3771	expansion	NSW	single	A	高端型	24.20	JA Solar JAM72S30 550/MR	440	20.00	45	10	200	50	50.00	A: max(整夜, 0.7×剩余)	80.00	21.31	4.72	12.69	69.51	62535	22737	39798
3771	expansion	NSW	single	B	平衡型	24.20	JA Solar JAM72S30 550/MR	440	13.20	30	8	165	30	27.27	B: max(晚高峰, 0.55×剩余)	52.80	21.31	4.72	12.69	42.39	38850	14040	24810
3771	expansion	NSW	single	C	经济型	24.20	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
