屋顶编号,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年度总计
屋顶 1,68.15,51.58,42.4,28.38,19.33,14.75,17.88,25.88,38.0,52.96,60.11,68.98,488.42
屋顶 2,68.3,51.82,42.76,28.79,19.73,15.12,18.29,26.32,38.42,53.28,60.27,69.08,492.18
总计,136.45,103.4,85.17,57.18,39.07,29.88,36.17,52.2,76.41,106.24,120.38,138.06,980.6
