house_id	calc_mode	state	phase	plan	plan_name	pv_model	pv_watt	pv_kw	panel_count	inverter_kw	ratio_percent	battery_nominal_kwh	battery_calculated_nominal_kwh	battery_is_standardized	battery_v4_bSurplus_used	battery_method	tax_total_aud	subsidy_aud	final_price_aud
4012	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	20.00	45	10	200	50	42.32	1	0.55	A: max(整夜, 0.8×剩余)	62535	22737	39798
4012	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	13.20	30	8	165	20	16.69	1	0.55	B: max(晚高峰, 0.55×剩余)	29335	10764	18571
4012	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4013	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	13.20	30	8	165	25	24.27	1	0.55	A: max(整夜, 0.8×剩余)	34092	12402	21690
4013	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	10.12	23	6	169	13.5	11.17	1	0.55	B: max(晚高峰, 0.55×剩余)	20705	7605	13100
4013	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4013	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	8.36	19	5	167	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	25536	9204	16332
4013	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	8.36	19	5	167	9.6	8.20	1	0.55	B: max(晚高峰, 0.55×剩余)	15640	5811	9829
4013	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4014	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	7.48	17	5	150	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	25013	8931	16082
4014	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	7.48	17	5	150	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	15118	5538	9580
4014	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
4014	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	4.40	10	3	147	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	22568	7917	14651
4014	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	4.40	10	3	147	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	12672	4524	8148
4014	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	4.40	10	3	147	9.6	7.08	1	0.55	C: 晚高峰	12672	4524	8148
4015	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	3.52	8	2	176	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	21737	7644	14093
4015	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	3.52	8	2	176	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	11841	4251	7590
