项目类型,屋顶理论最大面板数量,方案,州领地,实际面板数量,光伏容量kW,逆变器功率kW,电池标称容量kWh,总投资成本AUD,电池更换成本AUD,年度用电量kWh,自用率百分比,回本周期月数,回本周期年数,贴现回本周期月数,贴现回本周期年数,IRR_20年
"新建系统","3","C","NT","2","0.88","0.6","0.86","968.81","744.43","10008","97.00","35.3","2.94","37.7","3.14","36.31%"
"新建系统","4","A","NSW","3","1.32","8","22.44","16879.87","19410.60","7778","96.91","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","VIC","3","1.32","8","22.44","16879.87","19410.60","6778","96.68","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","QLD","3","1.32","8","22.44","16879.87","19410.60","7270","96.99","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","SA","3","1.32","8","22.44","16879.87","19410.60","7129","96.84","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","WA","3","1.32","8","22.44","16879.87","19410.60","7634","96.98","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","TAS","3","1.32","8","22.44","16879.87","19410.60","10148","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","ACT","3","1.32","8","22.44","16879.87","19410.60","8632","96.74","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","A","NT","3","1.32","8","22.44","16879.87","19410.60","10008","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","NSW","3","1.32","5","15.00","11294.71","12975.00","7778","96.91","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","VIC","3","1.32","5","15.00","11294.71","12975.00","6778","96.68","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","QLD","3","1.32","5","15.00","11294.71","12975.00","7270","96.99","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","SA","3","1.32","5","15.00","11294.71","12975.00","7129","96.84","N/A","N/A","N/A","N/A","N/A"
"新建系统","4","B","WA","3","1.32","5","15.00","11294.71","12975.00","7634","96.98","N/A","N/A","N/A","N/A","N/A"
