项目类型,屋顶理论最大面板数量,方案,州领地,实际面板数量,光伏容量kW,逆变器功率kW,电池标称容量kWh,总投资成本AUD,电池更换成本AUD,年度用电量kWh,自用率百分比,回本周期月数,回本周期年数,贴现回本周期月数,贴现回本周期年数,IRR_20年
"新建系统","2","A","NSW","1","0.44","8","22.44","24077.02","19410.60","7778","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","A","VIC","1","0.44","8","22.44","24077.02","19410.60","6778","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","A","QLD","1","0.44","8","22.44","24077.02","19410.60","7270","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","A","SA","1","0.44","8","22.44","24077.02","19410.60","7129","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","A","WA","1","0.44","8","22.44","24077.02","19410.60","7634","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","A","TAS","1","0.44","8","22.44","24077.02","19410.60","10148","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","A","ACT","1","0.44","8","22.44","24077.02","19410.60","8632","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","A","NT","1","0.44","8","22.44","24077.02","19410.60","10008","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","B","NSW","1","0.44","5","15.00","16073.86","12975.00","7778","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","B","VIC","1","0.44","5","15.00","16073.86","12975.00","6778","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","B","QLD","1","0.44","5","15.00","16073.86","12975.00","7270","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","B","SA","1","0.44","5","15.00","16073.86","12975.00","7129","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","B","WA","1","0.44","5","15.00","16073.86","12975.00","7634","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","B","TAS","1","0.44","5","15.00","16073.86","12975.00","10148","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","B","ACT","1","0.44","5","15.00","16073.86","12975.00","8632","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","B","NT","1","0.44","5","15.00","16073.86","12975.00","10008","97.00","N/A","N/A","N/A","N/A","N/A"
"新建系统","2","C","NSW","1","0.44","0.3","0.43","763.20","372.22","7778","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","2","C","VIC","1","0.44","0.3","0.43","763.20","372.22","6778","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","2","C","QLD","1","0.44","0.3","0.43","763.20","372.22","7270","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","2","C","SA","1","0.44","0.3","0.43","763.20","372.22","7129","97.00","54.3","4.53","60.7","5.06","23.94%"
"新建系统","2","C","WA","1","0.44","0.3","0.43","763.20","372.22","7634","97.00","54.3","4.53","60.7","5.06","23.94%"
