State,Postcode,Retailer,PlanType,PlanName,PricingModel,SupplyCharge_c/day,FiT_c/kWh,Distributor
VIC,3550,GloBird Energy,Single Rate,"GloBird  STANDING OFFER Residential (Flat Rate Without Controlled Load)-Powercor",SR,119.6636,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Powercor"
VIC,3550,GloBird Energy,Time of Use,"GloBird  STANDING OFFER Residential (Two Rate) Powercor",TOU,119.6636,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Powercor"
VIC,3550,Indigo Power,Single Rate,"Community Energy hub plan",SR,129.0328,4,"Powercor"
VIC,3550,Indigo Power,Time of Use,"Community Energy hub plan",TOU,129.0328,4,"Powercor"
VIC,3550,Kogan Energy,Single Rate,"Kogan Energy Basic",SR,119.6636,3.3,"Powercor"
VIC,3550,Kogan Energy,Time of Use,"Kogan Energy Basic",TOU,119.6636,3.3,"Powercor"
VIC,3550,Lumo Energy,Single Rate,"Victorian Default Offer",SR,119.66,3.3,"Powercor"
VIC,3550,Lumo Energy,Time of Use,"Victorian Default Offer",TOU,119.66,3.3,"Powercor"
VIC,3550,Momentum Energy,Single Rate,"Standing Offer",SR,119.6636,3.3,"Powercor"
VIC,3550,Momentum Energy,Time of Use,"Standing Offer",TOU,119.6636,3.3,"Powercor"
VIC,3550,Nectr,Single Rate,"Nectr 100% Clean - Powercor",SR,119.663636,3.3,"Powercor"
VIC,3550,Nectr,Time of Use,"Nectr 100% Clean Time of Use - Powercor",TOU,119.663636,3.3,"Powercor"
VIC,3550,Next Business Energy Pty Ltd,Single Rate,"Next Assured 5% Discount Powercor Anytime",SR,111.4699,3.3,"Powercor"
VIC,3550,Next Business Energy Pty Ltd,Time of Use,"Next Assured 5% Discount Powercor 7 Day TOU",TOU,111.4699,3.3,"Powercor"
VIC,3550,OVO Energy,Single Rate,"Victorian Default Offer",SR,119.6636,3.3,"Powercor"
VIC,3550,OVO Energy,Time of Use,"Victorian Default Offer",TOU,119.6636,3.3,"Powercor"
VIC,3550,Origin Energy,Single Rate,""Greener for Business" Variable (Single Rate)",SR,118.47,3.3,"Powercor"
VIC,3550,Origin Energy,Time of Use,""Greener for Business" Variable (2 Period TOU)",TOU,118.47,3.3,"Powercor"
VIC,3550,Pacific Blue Retail,Single Rate,"Blue First",SR,94,3.3,"Powercor"
VIC,3550,Pacific Blue Retail,Time of Use,"Blue First",TOU,94,3.3,"Powercor"
VIC,3550,Powershop Australia,Single Rate,"Victorian Default Offer",SR,119.6636,3.3,"Powercor"
VIC,3550,Powershop Australia,Time of Use,"Victorian Default Offer",TOU,119.6636,3.3,"Powercor"
VIC,3550,Red Energy,Single Rate,"Victorian Default Offer",SR,119.66,3.3,"Powercor"
VIC,3550,Red Energy,Time of Use,"Victorian Default Offer",TOU,119.66,3.3,"Powercor"
VIC,3550,Sumo,Single Rate,"Sumo Switch (Single Rate)",SR,80,3.3,"Powercor"
VIC,3550,Sumo,Time of Use,"Sumo Standing Offer (Two Rate)",TOU,119.66,3.3,"Powercor"
VIC,3550,Tango Energy,Single Rate,"Value Select",SR,146,3.3,"Powercor"
VIC,3550,Tango Energy,Time of Use,"Value Select",TOU,127,3.3,"Powercor"
