年份,月份,天数,用电量(kWh),发电量(kWh),直接自用(kWh),上网(kWh),购电(kWh),自用率(%),购电费用($),馈网收入($),净电费($),无太阳能电费($),月度节省($),累计节省($),回本进度(%)
1,1,31,423.22,677.16,423.22,253.94,0.0,75.0,24.8,15.24,9.56,176.63,167.07,167.07,1.08
1,2,28,385.11,616.18,385.11,231.07,0.0,75.0,22.4,13.86,8.54,160.56,152.02,319.09,2.06
1,3,31,371.74,594.79,371.74,223.05,0.0,75.0,24.8,13.38,11.42,158.16,146.74,465.83,3.01
1,4,30,353.43,565.49,353.43,212.06,0.0,75.0,24.0,12.72,11.28,150.79,139.52,605.35,3.91
1,5,31,419.26,670.82,419.26,251.56,0.0,75.0,24.8,15.09,9.71,175.21,165.5,770.85,4.97
1,6,30,522.22,835.56,522.22,313.34,0.0,75.0,24.0,18.8,5.2,211.35,206.15,977.0,6.3
1,7,31,528.16,845.06,528.16,316.9,0.0,75.0,24.8,19.01,5.79,214.28,208.49,1185.49,7.65
1,8,31,467.78,748.44,467.78,280.66,0.0,75.0,24.8,16.84,7.96,192.62,184.66,1370.15,8.84
1,9,30,364.32,582.91,364.32,218.59,0.0,75.0,24.0,13.12,10.88,154.7,143.82,1513.97,9.77
1,10,31,356.9,571.03,356.9,214.13,0.0,75.0,24.8,12.85,11.95,152.84,140.89,1654.86,10.68
1,11,30,361.35,578.16,361.35,216.81,0.0,75.0,24.0,13.01,10.99,153.63,142.64,1797.5,11.6
1,12,31,397.48,635.98,397.48,238.5,0.0,75.0,24.8,14.31,10.49,167.4,156.91,1954.41,12.61
2,1,31,423.22,674.45,423.22,251.23,0.0,75.0,24.8,15.07,9.73,180.43,170.7,2125.11,13.71
2,2,28,385.11,613.71,385.11,228.6,0.0,75.0,22.4,13.72,8.68,164.01,155.33,2280.44,14.71
2,3,31,371.74,592.41,371.74,220.67,0.0,75.0,24.8,13.24,11.56,161.5,149.94,2430.38,15.68
2,4,30,353.43,563.23,353.43,209.8,0.0,75.0,24.0,12.59,11.41,153.96,142.55,2572.93,16.6
