年份,月份,天数,发电量(kWh),用电量(kWh),直接自用(kWh),上网(kWh),购电(kWh),自用率(%),购电费用($),馈网收入($),净电费($),无太阳能电费($),月度节省($),累计节省($),回本进度(%)
1,1,31,840.0,730.0,588.0,252.0,142.0,70.0,59.17,12.6,46.57,239.98,193.41,193.41,1.14
1,2,28,900.0,730.0,630.0,270.0,100.0,70.0,44.75,13.5,31.25,238.48,207.23,400.64,2.36
1,3,31,1020.0,730.0,714.0,306.0,16.0,70.0,20.42,15.3,5.12,239.98,234.86,635.5,3.74
1,4,30,1080.0,730.0,730.0,350.0,0.0,70.0,15.0,17.5,-2.5,239.48,241.98,877.48,5.16
1,5,31,1140.0,730.0,730.0,410.0,0.0,70.0,15.5,20.5,-5.0,239.98,244.98,1122.46,6.6
1,6,30,1140.0,730.0,730.0,410.0,0.0,70.0,15.0,20.5,-5.5,239.48,244.98,1367.44,8.04
1,7,31,1140.0,730.0,730.0,410.0,0.0,70.0,15.5,20.5,-5.0,239.98,244.98,1612.42,9.48
1,8,31,1080.0,730.0,730.0,350.0,0.0,70.0,15.5,17.5,-2.0,239.98,241.98,1854.4,10.91
1,9,30,1020.0,730.0,714.0,306.0,16.0,70.0,19.92,15.3,4.62,239.48,234.86,2089.26,12.29
1,10,31,960.0,730.0,672.0,288.0,58.0,70.0,33.34,14.4,18.94,239.98,221.04,2310.3,13.59
1,11,30,900.0,730.0,630.0,270.0,100.0,70.0,45.75,13.5,32.25,239.48,207.23,2517.53,14.81
1,12,31,780.0,730.0,546.0,234.0,184.0,70.0,72.08,11.7,60.38,239.98,179.6,2697.13,15.87
2,1,31,836.64,730.0,585.65,250.99,144.35,70.0,61.0,12.55,48.45,245.59,197.14,2894.27,17.03
2,2,28,896.4,730.0,627.48,268.92,102.52,70.0,46.31,13.45,32.87,244.09,211.22,3105.49,18.27
2,3,31,1015.92,730.0,711.14,304.78,18.86,70.0,21.44,15.24,6.2,245.59,239.38,3344.87,19.68
2,4,30,1075.68,730.0,730.0,345.68,0.0,70.0,15.0,17.28,-2.28,245.09,247.37,3592.24,21.13
2,5,31,1135.44,730.0,730.0,405.44,0.0,70.0,15.5,20.27,-4.77,245.59,250.36,3842.6,22.6
2,6,30,1135.44,730.0,730.0,405.44,0.0,70.0,15.0,20.27,-5.27,245.09,250.36,4092.96,24.08
2,7,31,1135.44,730.0,730.0,405.44,0.0,70.0,15.5,20.27,-4.77,245.59,250.36,4343.32,25.55
2,8,31,1075.68,730.0,730.0,345.68,0.0,70.0,15.5,17.28,-1.78,245.59,247.37,4590.69,27.0
2,9,30,1015.92,730.0,711.14,304.78,18.86,70.0,20.94,15.24,5.7,245.09,239.38,4830.07,28.41
2,10,31,956.16,730.0,669.31,286.85,60.69,70.0,34.63,14.34,20.29,245.59,225.3,5055.37,29.74
2,11,30,896.4,730.0,627.48,268.92,102.52,70.0,47.31,13.45,33.87,245.09,211.22,5266.59,30.98
2,12,31,776.88,730.0,543.82,233.06,186.18,70.0,74.18,11.65,62.53,245.59,183.06,5449.65,32.06
3,1,31,833.29,730.0,583.3,249.99,146.7,70.0,62.89,12.5,50.39,251.34,200.95,5650.6,33.24
3,2,28,892.81,730.0,624.97,267.84,105.03,70.0,47.93,13.39,34.54,249.84,215.3,5865.9,34.51
3,3,31,1011.86,730.0,708.3,303.56,21.7,70.0,22.51,15.18,7.33,251.34,244.01,6109.91,35.94
3,4,30,1071.38,730.0,730.0,341.38,0.0,70.0,15.0,17.07,-2.07,250.84,252.91,6362.82,37.43
3,5,31,1130.9,730.0,730.0,400.9,0.0,70.0,15.5,20.05,-4.55,251.34,255.88,6618.7,38.93
3,6,30,1130.9,730.0,730.0,400.9,0.0,70.0,15.0,20.05,-5.05,250.84,255.88,6874.58,40.44
3,7,31,1130.9,730.0,730.0,400.9,0.0,70.0,15.5,20.05,-4.55,251.34,255.88,7130.46,41.94
3,8,31,1071.38,730.0,730.0,341.38,0.0,70.0,15.5,17.07,-1.57,251.34,252.91,7383.37,43.43
3,9,30,1011.86,730.0,708.3,303.56,21.7,70.0,22.01,15.18,6.83,250.84,244.01,7627.38,44.87
3,10,31,952.34,730.0,666.64,285.7,63.36,70.0,35.97,14.29,21.69,251.34,229.65,7857.03,46.22
3,11,30,892.81,730.0,624.97,267.84,105.03,70.0,48.93,13.39,35.54,250.84,215.3,8072.33,47.48
3,12,31,773.77,730.0,541.64,232.13,188.36,70.0,76.35,11.61,64.75,251.34,186.59,8258.92,48.58
4,1,31,829.96,730.0,580.97,248.99,149.03,70.0,64.85,12.45,52.4,257.24,204.83,8463.75,49.79
4,2,29,889.24,730.0,622.47,266.77,107.53,70.0,50.11,13.34,36.77,256.24,219.47,8683.22,51.08
4,3,31,1007.81,730.0,705.47,302.34,24.53,70.0,23.62,15.12,8.51,257.24,248.73,8931.95,52.54
